onset_time,offset_time,duration_s,subject_id
560.14276,560.20294,0.06018000000005941,subject-19
560.27679,560.33716,0.06037000000003445,subject-19
566.27863,566.3924,0.11376999999993131,subject-19
566.42609,566.48615,0.06005999999990763,subject-19
567.0824,567.14258,0.06017999999994572,subject-19
574.2428,574.31641,0.0736100000000306,subject-19
574.55768,574.61798,0.06029999999998381,subject-19
575.23413,575.29419,0.06005999999990763,subject-19
577.06281,577.12305,0.06024000000002161,subject-19
592.82379,592.88409,0.06029999999998381,subject-19
601.3642,601.56488,0.20068000000003394,subject-19
601.58521,601.64551,0.06029999999998381,subject-19
601.70569,601.76605,0.06035999999994601,subject-19
604.78021,604.84052,0.06030999999995856,subject-19
604.91431,604.97449,0.06017999999994572,subject-19
609.93787,609.99829,0.0604200000000219,subject-19
618.81995,619.0141,0.19415000000003602,subject-19
619.56317,619.6236,0.06042999999999665,subject-19
628.44525,628.50568,0.06042999999999665,subject-19
629.01416,629.07483,0.06067000000007283,subject-19
629.1684,629.22894,0.0605399999999463,subject-19
630.00592,630.06622,0.0603000000000975,subject-19
630.17987,630.24036,0.060489999999958854,subject-19
635.31097,635.37097,0.06000000000005912,subject-19
635.599,635.65924,0.06023999999990792,subject-19
637.54144,637.60187,0.06042999999999665,subject-19
643.28857,643.349,0.06042999999999665,subject-19
651.14575,651.20593,0.06017999999994572,subject-19
659.6322,659.69269,0.060489999999958854,subject-19
659.70605,659.76624,0.06019000000003416,subject-19
663.20935,663.26953,0.06018000000005941,subject-19
667.7373,667.79761,0.06030999999995856,subject-19
668.22632,668.28656,0.06024000000002161,subject-19
676.41168,676.47186,0.06017999999994572,subject-19
677.31573,677.37585,0.06011999999998352,subject-19
679.07092,679.13098,0.06006000000002132,subject-19
679.62,679.6803,0.06029999999998381,subject-19
683.50507,683.56512,0.06004999999993288,subject-19
683.63855,683.69934,0.060789999999997235,subject-19
692.09174,692.1524,0.06065999999998439,subject-19
692.70148,692.76202,0.06054000000005999,subject-19
699.62103,699.68134,0.06030999999995856,subject-19
700.78662,700.84692,0.06029999999998381,subject-19
701.01434,701.07465,0.06031000000007225,subject-19
701.08124,701.14154,0.06029999999998381,subject-19
708.39575,708.45624,0.060489999999958854,subject-19
716.62122,716.68158,0.0603600000000597,subject-19
718.76471,718.82495,0.06023999999990792,subject-19
729.57568,729.63605,0.060369999999920765,subject-19
729.80347,729.86353,0.06006000000002132,subject-19
732.46924,732.52966,0.0604200000000219,subject-19
733.22632,733.28662,0.06029999999998381,subject-19
733.29327,733.35345,0.06017999999994572,subject-19
736.97723,737.03754,0.06031000000007225,subject-19
739.99823,740.05859,0.06035999999994601,subject-19
740.09851,740.159,0.060489999999958854,subject-19
746.97784,747.0379,0.06006000000002132,subject-19
747.10486,747.16547,0.060609999999996944,subject-19
751.08386,751.2915,0.2076400000000831,subject-19
759.92542,760.13318,0.2077600000000075,subject-19
763.15405,763.21442,0.06037000000003445,subject-19
772.47809,772.66571,0.1876200000000381,subject-19
780.24133,780.3017,0.06037000000003445,subject-19
780.55573,780.61652,0.060789999999997235,subject-19
781.89594,781.95612,0.06018000000005941,subject-19
782.00287,782.06329,0.0604200000000219,subject-19
782.42499,782.48535,0.0603600000000597,subject-19
789.55835,789.61902,0.060669999999959145,subject-19
793.81207,793.87244,0.06037000000003445,subject-19
794.52185,794.58234,0.06049000000007254,subject-19
797.5965,797.65686,0.0603600000000597,subject-19
798.44049,798.50098,0.06049000000007254,subject-19
802.15112,802.21167,0.06055000000003474,subject-19
802.70703,802.76776,0.06072999999992135,subject-19
808.59479,808.6554,0.060609999999996944,subject-19
810.95966,811.01996,0.06029999999998381,subject-19
811.10004,811.16058,0.0605399999999463,subject-19
815.11212,815.1731,0.06097999999997228,subject-19
815.21307,815.27332,0.06024999999999636,subject-19
824.56384,824.62415,0.06030999999995856,subject-19
824.97241,825.03271,0.06029999999998381,subject-19
825.76257,825.823,0.06042999999999665,subject-19
826.07758,826.13794,0.06035999999994601,subject-19
826.16431,826.22498,0.060669999999959145,subject-19
827.66504,827.72534,0.06029999999998381,subject-19
827.73883,827.79907,0.06024000000002161,subject-19
828.02667,828.08691,0.06024000000002161,subject-19
829.51379,829.57379,0.06000000000005912,subject-19
831.72418,831.97833,0.25414999999998145,subject-19
833.5257,833.5863,0.06060000000002219,subject-19
840.211,840.27124,0.06024000000002161,subject-19
840.38507,840.44519,0.06011999999998352,subject-19
841.72479,841.7851,0.06031000000007225,subject-19
844.31,844.37054,0.06054000000005999,subject-19
848.91876,848.97906,0.06029999999998381,subject-19
850.19135,850.25165,0.06029999999998381,subject-19
858.80518,858.8656,0.0604200000000219,subject-19
867.64691,867.70734,0.06042999999999665,subject-19
867.99524,868.05548,0.06024000000002161,subject-19
868.19598,868.25659,0.060609999999996944,subject-19
877.88867,877.94897,0.06029999999998381,subject-19
878.92035,878.98053,0.06018000000005941,subject-19
880.64136,880.70251,0.06114999999999782,subject-19
886.70355,886.76385,0.0603000000000975,subject-19
887.11194,887.17242,0.0604799999999841,subject-19
887.34662,887.40686,0.06024000000002161,subject-19
890.5885,890.6488,0.0603000000000975,subject-19
894.93561,894.99603,0.0604200000000219,subject-19
897.88965,897.95001,0.0603600000000597,subject-19
898.24463,898.30511,0.0604799999999841,subject-19
898.37872,898.4389,0.06017999999994572,subject-19
898.61981,898.68005,0.06024000000002161,subject-19
902.08929,902.1496,0.06030999999995856,subject-19
903.77045,903.83099,0.06054000000005999,subject-19
905.6662,905.72638,0.06017999999994572,subject-19
905.84717,905.90747,0.06029999999998381,subject-19
906.60419,906.66425,0.06006000000002132,subject-19
910.70355,910.76373,0.06018000000005941,subject-19
910.77716,910.8374,0.06024000000002161,subject-19
911.25275,911.31311,0.0603600000000597,subject-19
911.37958,911.44,0.0604200000000219,subject-19
912.41821,912.47852,0.06030999999995856,subject-19
919.92694,919.98718,0.06024000000002161,subject-19
920.31555,920.37585,0.06029999999998381,subject-19
922.87396,922.93451,0.06055000000003474,subject-19
928.06494,928.12531,0.06037000000003445,subject-19
928.13232,928.19257,0.06024999999999636,subject-19
930.17529,930.23566,0.06037000000003445,subject-19
937.45618,937.51666,0.0604799999999841,subject-19
941.26764,941.32782,0.06017999999994572,subject-19
942.04462,942.10486,0.06024000000002161,subject-19
945.2196,945.27991,0.06030999999995856,subject-19
946.63965,946.69989,0.06024000000002161,subject-19
962.19275,962.25281,0.06005999999990763,subject-19
970.56586,970.62592,0.06005999999990763,subject-19
971.03467,971.09497,0.06029999999998381,subject-19
971.12152,971.18213,0.060609999999996944,subject-19
971.34253,971.40308,0.06055000000003474,subject-19
2421.04541,2421.24634,0.2009299999999712,subject-20
2423.77808,2423.96582,0.1877399999998488,subject-20
2428.66138,2428.88232,0.22094000000015512,subject-20
2429.80005,2430.05493,0.25487999999995736,subject-20
2432.09766,2432.3252,0.22754000000031738,subject-20
2433.44385,2433.62451,0.18065999999998894,subject-20
2434.38794,2434.63623,0.24828999999999724,subject-20
2447.06812,2447.26245,0.19433000000026368,subject-20
2448.71582,2448.90356,0.18774000000030355,subject-20
2449.84131,2450.11572,0.27440999999998894,subject-20
2452.00464,2452.17896,0.17432000000007974,subject-20
2457.77856,2457.98633,0.20776999999998225,subject-20
2458.65601,2458.95068,0.29466999999976906,subject-20
2460.08911,2460.33057,0.2414600000001883,subject-20
2461.77759,2461.94482,0.16723000000001775,subject-20
2462.74194,2462.96313,0.22119000000020606,subject-20
2468.08716,2468.32837,0.24121000000013737,subject-20
2469.19873,2469.42017,0.22143999999980224,subject-20
2471.00098,2471.21533,0.214350000000195,subject-20
2472.74219,2472.9165,0.17430999999987762,subject-20
2475.77686,2475.9375,0.16064000000005763,subject-20
2476.95532,2477.14966,0.19434000000001106,subject-20
2478.08105,2478.30884,0.2277900000003683,subject-20
2479.5481,2479.78906,0.24096000000008644,subject-20
2480.49902,2480.72681,0.22778999999991356,subject-20
2482.60864,2482.77637,0.16773000000011962,subject-20
2483.05786,2483.24536,0.1875,subject-20
2483.76099,2483.98853,0.22753999999986263,subject-20
2485.5896,2485.79053,0.20093000000042593,subject-20
2487.11694,2487.28418,0.16724000000021988,subject-20
2487.95435,2488.13501,0.18065999999998894,subject-20
2490.94165,2491.13599,0.19434000000001106,subject-20
2492.26782,2492.48877,0.2209499999999025,subject-20
2492.97119,2493.18555,0.21435999999994237,subject-20
2494.26392,2494.47803,0.2141100000003462,subject-20
2495.97876,2496.14624,0.16748000000006869,subject-20
2499.32788,2499.57568,0.2478000000000975,subject-20
2500.33252,2500.64062,0.308100000000195,subject-20
2501.27026,2501.53833,0.26807000000007974,subject-20
2501.95337,2502.27515,0.32177999999976237,subject-20
2503.45386,2503.66821,0.21434999999974025,subject-20
2506.62915,2506.91675,0.2875999999996566,subject-20
2508.6853,2508.92651,0.24120999999968262,subject-20
2510.50708,2510.69482,0.18774000000030355,subject-20
2514.7334,2514.93481,0.20141000000012355,subject-20
2515.43677,2515.71851,0.2817400000003545,subject-20
2517.02417,2517.20532,0.18114999999988868,subject-20
2518.24341,2518.43115,0.1877399999998488,subject-20
2522.00122,2522.24219,0.24096999999983382,subject-20
2523.06641,2523.28076,0.214350000000195,subject-20
2525.35742,2525.53809,0.18067000000019107,subject-20
2526.07349,2526.26147,0.1879799999996976,subject-20
2528.80688,2528.98096,0.1740799999997762,subject-20
2529.61743,2529.80493,0.1875,subject-20
2531.51953,2531.71387,0.19434000000001106,subject-20
2532.33008,2532.57788,0.24779999999964275,subject-20
2535.53149,2535.7124,0.18091000000003987,subject-20
2536.4292,2536.71069,0.2814899999998488,subject-20
2537.42065,2537.58813,0.16748000000006869,subject-20
2537.92993,2538.11743,0.1875,subject-20
2539.8584,2540.20728,0.3488800000000083,subject-20
2541.11157,2541.30566,0.19408999999996013,subject-20
2543.10742,2543.20801,0.10059000000001106,subject-20
2543.98486,2544.27954,0.2946799999999712,subject-20
2547.52173,2547.70923,0.1875,subject-20
2550.85059,2551.10522,0.25462999999990643,subject-20
2553.59033,2553.75781,0.16748000000006869,subject-20
2554.39404,2554.58179,0.18775000000005093,subject-20
2555.49268,2555.64624,0.15356000000019776,subject-20
2558.4668,2558.68726,0.22046000000000276,subject-20
2559.96045,2560.16797,0.20751999999993131,subject-20
2560.7373,2560.96509,0.2277900000003683,subject-20
2561.78882,2562.05664,0.26781999999957407,subject-20
2563.11523,2563.28247,0.16724000000021988,subject-20
2563.73145,2563.92578,0.19432999999980893,subject-20
2566.29688,2566.53809,0.24121000000013737,subject-20
2567.7168,2567.93799,0.2211899999997513,subject-20
2569.13013,2569.38501,0.25487999999995736,subject-20
2570.63062,2570.79126,0.16064000000005763,subject-20
2571.21338,2571.43457,0.2211899999997513,subject-20
2574.20752,2574.61621,0.40869000000020606,subject-20
2576.77954,2577.00073,0.22119000000020606,subject-20
2577.5498,2577.771,0.22120000000040818,subject-20
2578.28687,2578.49438,0.20751000000018394,subject-20
2579.34497,2579.479,0.13402999999971144,subject-20
2581.97754,2582.23877,0.2612300000000687,subject-20
2583.72559,2584.01367,0.28807999999980893,subject-20
2584.95142,2585.13916,0.18774000000030355,subject-20
2585.88257,2586.10352,0.2209499999999025,subject-20
2588.64209,2588.7561,0.11401000000023487,subject-20
2589.33228,2589.55981,0.22753000000011525,subject-20
2590.62476,2590.89282,0.2680599999998776,subject-20
2592.06494,2592.26587,0.2009299999999712,subject-20
2593.16357,2593.4248,0.26122999999961394,subject-20
2596.84033,2597.12207,0.28173999999989974,subject-20
2597.82568,2598.05957,0.23388999999997395,subject-20
2599.17188,2599.45312,0.2812400000002526,subject-20
2600.51123,2600.71899,0.20775999999978012,subject-20
2601.75732,2601.9248,0.16747999999961394,subject-20
2605.23364,2605.46143,0.22778999999991356,subject-20
2607.15625,2607.34375,0.1875,subject-20
2608.28833,2608.55591,0.26758000000018,subject-20
2609.03149,2609.22583,0.19434000000001106,subject-20
2612.94995,2613.27148,0.32152999999971144,subject-20
2614.34302,2614.56421,0.22119000000020606,subject-20
2615.14038,2615.60229,0.46190999999998894,subject-20
2616.84863,2617.07642,0.22778999999991356,subject-20
2617.69238,2617.84668,0.15430000000014843,subject-20
2621.36938,2621.55054,0.1811600000000908,subject-20
2622.85693,2623.17847,0.32153999999991356,subject-20
2624.02222,2624.20972,0.1875,subject-20
2624.68555,2624.88623,0.20067999999992026,subject-20
2627.20386,2627.31787,0.11400999999978012,subject-20
2627.78662,2628.18823,0.4016100000003462,subject-20
2628.92554,2629.26685,0.34130999999979394,subject-20
2630.79395,2630.98169,0.1877399999998488,subject-20
2631.75879,2631.95972,0.2009299999999712,subject-20
2634.61914,2634.92041,0.30127000000038606,subject-20
2637.0835,2637.3313,0.24779999999964275,subject-20
2638.20239,2638.35645,0.15406000000029962,subject-20
2639.01318,2639.25415,0.24097000000028856,subject-20
2639.97754,2640.19165,0.2141100000003462,subject-20
2642.28857,2642.39551,0.10693999999966763,subject-20
2642.85791,2643.15869,0.3007800000000316,subject-20
2643.71509,2643.93628,0.2211899999997513,subject-20
2644.33813,2644.64624,0.3081099999999424,subject-20
2645.38257,2645.65112,0.26854999999977736,subject-20
2646.11304,2646.30737,0.19432999999980893,subject-20
2647.35229,2647.57324,0.22095000000035725,subject-20
2652.73755,2652.93188,0.19433000000026368,subject-20
2654.37866,2654.573,0.19434000000001106,subject-20
2655.02808,2655.28979,0.2617099999997663,subject-20
2659.18823,2659.39575,0.20751999999993131,subject-20
2659.79077,2660.09229,0.30151999999998225,subject-20
2661.19751,2661.38525,0.1877399999998488,subject-20
2662.46313,2662.66455,0.20141999999987092,subject-20
2663.6687,2663.85693,0.18822999999974854,subject-20
2665.71216,2666.05371,0.3415500000000975,subject-20
2668.27051,2668.53223,0.2617199999999684,subject-20
2669.95239,2670.13306,0.18067000000019107,subject-20
2673.57617,2673.87744,0.30127000000038606,subject-20
2675.74585,2675.96729,0.221440000000257,subject-20
2677.55469,2677.70215,0.14746000000013737,subject-20
2680.72974,2680.87695,0.1472099999996317,subject-20
