id,word,SentenceRole,WordRole,start,end,sentence
8,The,restrictive,det,0.021,0.063,The woman will play the piano
8,woman,restrictive,nsubj,0.189,0.525,The woman will play the piano
8,will,restrictive,aux,0.651,0.777,The woman will play the piano
8,play,restrictive,ROOT,0.861,1.155,The woman will play the piano
8,the,restrictive,det,1.281,1.344,The woman will play the piano
8,piano,restrictive,dobj,1.449,2.919,The woman will play the piano
8,The,non-restrictive,det,0.021,0.063,The woman will dust the piano
8,woman,non-restrictive,nsubj,0.189,0.525,The woman will dust the piano
8,will,non-restrictive,aux,0.651,0.798,The woman will dust the piano
8,dust,non-restrictive,ROOT,0.882,1.218,The woman will dust the piano
8,the,non-restrictive,det,1.323,1.386,The woman will dust the piano
8,piano,non-restrictive,dobj,1.47,3.087,The woman will dust the piano
9,The,restrictive,det,0.021,0.063,The woman will read the book
9,woman,restrictive,nsubj,0.189,0.525,The woman will read the book
9,will,restrictive,aux,0.651,0.798,The woman will read the book
9,read,restrictive,ROOT,0.924,1.113,The woman will read the book
9,the,restrictive,det,1.197,1.26,The woman will read the book
9,book,restrictive,dobj,1.386,2.457,The woman will read the book
9,The,non-restrictive,det,0.021,0.063,The woman will open the book
9,woman,non-restrictive,nsubj,0.168,0.483,The woman will open the book
9,will,non-restrictive,aux,0.609,0.735,The woman will open the book
9,open,non-restrictive,ROOT,0.903,1.176,The woman will open the book
9,the,non-restrictive,det,1.302,1.365,The woman will open the book
9,book,non-restrictive,dobj,1.47,1.869,The woman will open the book
10,The,restrictive,det,0.021,0.063,The man will repair the washing machine
10,man,restrictive,nsubj,0.147,0.525,The man will repair the washing machine
10,will,restrictive,aux,0.693,0.819,The man will repair the washing machine
10,repair,restrictive,ROOT,0.903,1.323,The man will repair the washing machine
10,the,restrictive,det,1.428,1.512,The man will repair the washing machine
10,washing,restrictive,compound,1.638,2.184,The man will repair the washing machine
10,machine,restrictive,dobj,2.268,3.612,The man will repair the washing machine
10,The,non-restrictive,det,0.021,0.063,The man will wipe the washing machine
10,man,non-restrictive,nsubj,0.168,0.483,The man will wipe the washing machine
10,will,non-restrictive,aux,0.63,0.756,The man will wipe the washing machine
10,wipe,non-restrictive,ROOT,0.861,1.113,The man will wipe the washing machine
10,the,non-restrictive,det,1.218,1.281,The man will wipe the washing machine
10,washing,non-restrictive,compound,1.407,1.953,The man will wipe the washing machine
10,machine,non-restrictive,dobj,2.037,3.381,The man will wipe the washing machine
11,The,restrictive,det,0.021,0.063,The baby will ring the bell
11,baby,restrictive,nsubj,0.168,0.504,The baby will ring the bell
11,will,restrictive,aux,0.714,0.84,The baby will ring the bell
11,ring,restrictive,ROOT,0.966,1.134,The baby will ring the bell
11,the,restrictive,det,1.218,1.26,The baby will ring the bell
11,bell,restrictive,dobj,1.386,2.058,The baby will ring the bell
11,The,non-restrictive,det,0.021,0.063,The baby will kick the bell
11,baby,non-restrictive,nsubj,0.168,0.525,The baby will kick the bell
11,will,non-restrictive,aux,0.672,0.819,The baby will kick the bell
11,kick,non-restrictive,ROOT,0.903,1.113,The baby will kick the bell
11,the,non-restrictive,det,1.218,1.302,The baby will kick the bell
11,bell,non-restrictive,dobj,1.407,2.541,The baby will kick the bell
12,The,restrictive,det,0.021,0.063,The man will sail the boat
12,man,restrictive,nsubj,0.147,0.462,The man will sail the boat
12,will,restrictive,aux,0.567,0.714,The man will sail the boat
12,sail,restrictive,ROOT,0.861,1.134,The man will sail the boat
12,the,restrictive,det,1.239,1.323,The man will sail the boat
12,boat,restrictive,dobj,1.428,2.562,The man will sail the boat
12,The,non-restrictive,det,0.021,0.084,The man will watch the boat
12,man,non-restrictive,nsubj,0.168,0.462,The man will watch the boat
12,will,non-restrictive,aux,0.588,0.714,The man will watch the boat
12,watch,non-restrictive,ROOT,0.819,1.155,The man will watch the boat
12,the,non-restrictive,det,1.26,1.323,The man will watch the boat
12,boat,non-restrictive,dobj,1.428,2.562,The man will watch the boat
13,The,restrictive,det,0.021,0.063,The man will smoke the cigarettes
13,man,restrictive,nsubj,0.168,0.462,The man will smoke the cigarettes
13,will,restrictive,aux,0.567,0.714,The man will smoke the cigarettes
13,smoke,restrictive,ROOT,0.84,1.197,The man will smoke the cigarettes
13,the,restrictive,det,1.281,1.344,The man will smoke the cigarettes
13,cigarettes,restrictive,dobj,1.47,2.961,The man will smoke the cigarettes
13,The,non-restrictive,det,0.021,0.084,The man will collect the cigarettes
13,man,non-restrictive,nsubj,0.168,0.504,The man will collect the cigarettes
13,will,non-restrictive,aux,0.609,0.735,The man will collect the cigarettes
13,collect,non-restrictive,ROOT,0.819,1.302,The man will collect the cigarettes
13,the,non-restrictive,det,1.428,1.491,The man will collect the cigarettes
13,cigarettes,non-restrictive,dobj,1.617,3.108,The man will collect the cigarettes
14,The,restrictive,det,0.021,0.063,The boy will walk the dog
14,boy,restrictive,nsubj,0.147,0.399,The boy will walk the dog
14,will,restrictive,aux,0.525,0.651,The boy will walk the dog
14,walk,restrictive,ROOT,0.756,1.029,The boy will walk the dog
14,the,restrictive,det,1.134,1.197,The boy will walk the dog
14,dog,restrictive,dobj,1.323,2.688,The boy will walk the dog
14,The,non-restrictive,det,0.021,0.063,The boy will feed the dog
14,boy,non-restrictive,nsubj,0.147,0.378,The boy will feed the dog
14,will,non-restrictive,aux,0.504,0.63,The boy will feed the dog
14,feed,non-restrictive,ROOT,0.735,0.987,The boy will feed the dog
14,the,non-restrictive,det,1.071,1.134,The boy will feed the dog
14,dog,non-restrictive,dobj,1.239,2.583,The boy will feed the dog
15,The,restrictive,det,0.021,0.063,The businessman will wear the hat
15,businessman,restrictive,nsubj,0.168,1.008,The businessman will wear the hat
15,will,restrictive,aux,1.197,1.323,The businessman will wear the hat
15,wear,restrictive,ROOT,1.407,1.638,The businessman will wear the hat
15,the,restrictive,det,1.743,1.806,The businessman will wear the hat
15,hat,restrictive,dobj,1.932,3.045,The businessman will wear the hat
15,The,non-restrictive,det,0.021,0.063,The businessman will forget the hat
15,businessman,non-restrictive,nsubj,0.168,1.029,The businessman will forget the hat
15,will,non-restrictive,aux,1.218,1.344,The businessman will forget the hat
15,forget,non-restrictive,ROOT,1.428,1.827,The businessman will forget the hat
15,the,non-restrictive,det,1.974,2.037,The businessman will forget the hat
15,hat,non-restrictive,dobj,2.163,3.234,The businessman will forget the hat
16,The,restrictive,det,0.021,0.063,The woman will wear the dress
16,woman,restrictive,nsubj,0.189,0.504,The woman will wear the dress
16,will,restrictive,aux,0.672,0.798,The woman will wear the dress
16,wear,restrictive,ROOT,0.882,1.113,The woman will wear the dress
16,the,restrictive,det,1.218,1.281,The woman will wear the dress
16,dress,restrictive,dobj,1.386,2.688,The woman will wear the dress
16,The,non-restrictive,det,0.021,0.063,The woman will carry the dress
16,woman,non-restrictive,nsubj,0.189,0.525,The woman will carry the dress
16,will,non-restrictive,aux,0.63,0.756,The woman will carry the dress
16,carry,non-restrictive,ROOT,0.861,1.239,The woman will carry the dress
16,the,non-restrictive,det,1.344,1.428,The woman will carry the dress
16,dress,non-restrictive,dobj,1.533,2.814,The woman will carry the dress
17,The,restrictive,det,0.021,0.063,The man will chop the wood
17,man,restrictive,nsubj,0.168,0.483,The man will chop the wood
17,will,restrictive,aux,0.609,0.735,The man will chop the wood
17,chop,restrictive,ROOT,0.819,1.092,The man will chop the wood
17,the,restrictive,det,1.218,1.281,The man will chop the wood
17,wood,restrictive,dobj,1.407,2.541,The man will chop the wood
17,The,non-restrictive,det,0.021,0.063,The man will move the wood
17,man,non-restrictive,nsubj,0.168,0.483,The man will move the wood
17,will,non-restrictive,aux,0.63,0.756,The man will move the wood
17,move,non-restrictive,ROOT,0.861,1.134,The man will move the wood
17,the,non-restrictive,det,1.197,1.26,The man will move the wood
17,wood,non-restrictive,dobj,1.386,2.499,The man will move the wood
18,The,restrictive,det,0.021,0.063,The boy will kick the football
18,boy,restrictive,nsubj,0.147,0.441,The boy will kick the football
18,will,restrictive,aux,0.567,0.714,The boy will kick the football
18,kick,restrictive,ROOT,0.819,1.071,The boy will kick the football
18,the,restrictive,det,1.176,1.239,The boy will kick the football
18,football,restrictive,dobj,1.344,2.688,The boy will kick the football
18,The,non-restrictive,det,0.021,0.063,The boy will touch the football
18,boy,non-restrictive,nsubj,0.147,0.441,The boy will touch the football
18,will,non-restrictive,aux,0.567,0.714,The boy will touch the football
18,touch,non-restrictive,ROOT,0.798,1.071,The boy will touch the football
18,the,non-restrictive,det,1.176,1.239,The boy will touch the football
18,football,non-restrictive,dobj,1.344,2.688,The boy will touch the football
19,The,restrictive,det,0.021,0.063,The chef will slice the bread
19,chef,restrictive,nsubj,0.21,0.462,The chef will slice the bread
19,will,restrictive,aux,0.609,0.756,The chef will slice the bread
19,slice,restrictive,ROOT,0.84,1.197,The chef will slice the bread
19,the,restrictive,det,1.281,1.344,The chef will slice the bread
19,bread,restrictive,dobj,1.449,2.625,The chef will slice the bread
19,The,non-restrictive,det,0.021,0.063,The chef will clean the bread
19,chef,non-restrictive,nsubj,0.21,0.462,The chef will clean the bread
19,will,non-restrictive,aux,0.609,0.735,The chef will clean the bread
19,clean,non-restrictive,ROOT,0.798,1.134,The chef will clean the bread
19,the,non-restrictive,det,1.239,1.281,The chef will clean the bread
19,bread,non-restrictive,dobj,1.407,2.604,The chef will clean the bread
20,The,restrictive,det,0.021,0.063,The baby will hug the kitten
20,baby,restrictive,nsubj,0.168,0.546,The baby will hug the kitten
20,will,restrictive,aux,0.819,0.945,The baby will hug the kitten
20,hug,restrictive,ROOT,1.071,1.218,The baby will hug the kitten
20,the,restrictive,det,1.386,1.449,The baby will hug the kitten
20,kitten,restrictive,dobj,1.533,2.877,The baby will hug the kitten
20,The,non-restrictive,det,0.021,0.063,The baby will grab the kitten
20,baby,non-restrictive,nsubj,0.168,0.525,The baby will grab the kitten
20,will,non-restrictive,aux,0.735,0.861,The baby will grab the kitten
20,grab,non-restrictive,ROOT,0.945,1.344,The baby will grab the kitten
20,the,non-restrictive,det,1.47,1.533,The baby will grab the kitten
20,kitten,non-restrictive,dobj,1.617,2.982,The baby will grab the kitten
21,The,restrictive,det,0.021,0.063,The woman will water the flower
21,woman,restrictive,nsubj,0.189,0.504,The woman will water the flower
21,will,restrictive,aux,0.693,0.84,The woman will water the flower
21,water,restrictive,ROOT,0.987,1.365,The woman will water the flower
21,the,restrictive,det,1.47,1.512,The woman will water the flower
21,flower,restrictive,dobj,1.659,3.003,The woman will water the flower
21,The,non-restrictive,det,0.021,0.063,The woman will move the flower
21,woman,non-restrictive,nsubj,0.189,0.504,The woman will move the flower
21,will,non-restrictive,aux,0.672,0.798,The woman will move the flower
21,move,non-restrictive,ROOT,0.882,1.155,The woman will move the flower
21,the,non-restrictive,det,1.239,1.281,The woman will move the flower
21,flower,non-restrictive,dobj,1.407,2.772,The woman will move the flower
22,The,restrictive,det,0.021,0.063,The girl will zip the coat
22,girl,restrictive,nsubj,0.147,0.504,The girl will zip the coat
22,will,restrictive,aux,0.609,0.777,The girl will zip the coat
22,zip,restrictive,ROOT,0.924,1.071,The girl will zip the coat
22,the,restrictive,det,1.26,1.323,The girl will zip the coat
22,coat,restrictive,dobj,1.407,2.583,The girl will zip the coat
22,The,non-restrictive,det,0.021,0.063,The girl will hang the coat
22,girl,non-restrictive,nsubj,0.147,0.483,The girl will hang the coat
22,will,non-restrictive,aux,0.63,0.756,The girl will hang the coat
22,hang,non-restrictive,ROOT,0.882,1.155,The girl will hang the coat
22,the,non-restrictive,det,1.218,1.281,The girl will hang the coat
22,coat,non-restrictive,dobj,1.386,2.562,The girl will hang the coat
23,The,restrictive,det,0.021,0.063,The girl will knit the scarf
23,girl,restrictive,nsubj,0.147,0.483,The girl will knit the scarf
23,will,restrictive,aux,0.63,0.756,The girl will knit the scarf
23,knit,restrictive,ROOT,0.84,1.029,The girl will knit the scarf
23,the,restrictive,det,1.155,1.197,The girl will knit the scarf
23,scarf,restrictive,dobj,1.323,2.583,The girl will knit the scarf
23,The,non-restrictive,det,0.021,0.063,The girl will hold the scarf
23,girl,non-restrictive,nsubj,0.147,0.483,The girl will hold the scarf
23,will,non-restrictive,aux,0.63,0.756,The girl will hold the scarf
23,hold,non-restrictive,ROOT,0.882,1.155,The girl will hold the scarf
23,the,non-restrictive,det,1.26,1.302,The girl will hold the scarf
23,scarf,non-restrictive,dobj,1.428,2.751,The girl will hold the scarf
24,The,restrictive,det,0.021,0.063,The girl will groom the rabbit
24,girl,restrictive,nsubj,0.147,0.483,The girl will groom the rabbit
24,will,restrictive,aux,0.63,0.756,The girl will groom the rabbit
24,groom,restrictive,ROOT,0.882,1.239,The girl will groom the rabbit
24,the,restrictive,det,1.365,1.428,The girl will groom the rabbit
24,rabbit,restrictive,dobj,1.554,2.814,The girl will groom the rabbit
24,The,non-restrictive,det,0.021,0.063,The girl will lift the rabbit
24,girl,non-restrictive,nsubj,0.168,0.525,The girl will lift the rabbit
24,will,non-restrictive,aux,0.651,0.798,The girl will lift the rabbit
24,lift,non-restrictive,ROOT,0.924,1.218,The girl will lift the rabbit
24,the,non-restrictive,det,1.323,1.386,The girl will lift the rabbit
24,rabbit,non-restrictive,dobj,1.512,2.793,The girl will lift the rabbit
25,The,restrictive,det,0.021,0.063,The man will paint the canvas
25,man,restrictive,nsubj,0.168,0.462,The man will paint the canvas
25,will,restrictive,aux,0.567,0.714,The man will paint the canvas
25,paint,restrictive,ROOT,0.798,1.113,The man will paint the canvas
25,the,restrictive,det,1.239,1.302,The man will paint the canvas
25,canvas,restrictive,dobj,1.386,2.898,The man will paint the canvas
25,The,non-restrictive,det,0.021,0.063,The man will move the canvas
25,man,non-restrictive,nsubj,0.168,0.483,The man will move the canvas
25,will,non-restrictive,aux,0.63,0.756,The man will move the canvas
25,move,non-restrictive,ROOT,0.861,1.092,The man will move the canvas
25,the,non-restrictive,det,1.176,1.239,The man will move the canvas
25,canvas,non-restrictive,dobj,1.323,2.856,The man will move the canvas
26,The,restrictive,det,0.021,0.063,The woman will blow out the candle
26,woman,restrictive,nsubj,0.189,0.525,The woman will blow out the candle
26,will,restrictive,aux,0.693,0.819,The woman will blow out the candle
26,blow,restrictive,ROOT,0.903,1.176,The woman will blow out the candle
26,out,restrictive,prt,1.365,1.491,The woman will blow out the candle
26,the,restrictive,det,1.596,1.659,The woman will blow out the candle
26,candle,restrictive,dobj,1.743,3.108,The woman will blow out the candle
26,The,non-restrictive,det,0.021,0.063,The woman will grab the candle
26,woman,non-restrictive,nsubj,0.189,0.504,The woman will grab the candle
26,will,non-restrictive,aux,0.693,0.819,The woman will grab the candle
26,grab,non-restrictive,ROOT,0.903,1.281,The woman will grab the candle
26,the,non-restrictive,det,1.386,1.449,The woman will grab the candle
26,candle,non-restrictive,dobj,1.533,2.898,The woman will grab the candle
27,The,restrictive,det,0.021,0.063,The boy will dim the lamp
27,boy,restrictive,nsubj,0.147,0.42,The boy will dim the lamp
27,will,restrictive,aux,0.546,0.693,The boy will dim the lamp
27,dim,restrictive,ROOT,0.798,0.987,The boy will dim the lamp
27,the,restrictive,det,1.092,1.155,The boy will dim the lamp
27,lamp,restrictive,dobj,1.302,2.415,The boy will dim the lamp
27,The,non-restrictive,det,0.021,0.063,The boy will touch the lamp
27,boy,non-restrictive,nsubj,0.147,0.399,The boy will touch the lamp
27,will,non-restrictive,aux,0.525,0.651,The boy will touch the lamp
27,touch,non-restrictive,ROOT,0.735,1.029,The boy will touch the lamp
27,the,non-restrictive,det,1.134,1.218,The boy will touch the lamp
27,lamp,non-restrictive,dobj,1.344,2.478,The boy will touch the lamp
28,The,restrictive,det,0.021,0.063,The cat will drink the milk
28,cat,restrictive,nsubj,0.147,0.525,The cat will drink the milk
28,will,restrictive,aux,0.63,0.756,The cat will drink the milk
28,drink,restrictive,ROOT,0.861,1.176,The cat will drink the milk
28,the,restrictive,det,1.281,1.344,The cat will drink the milk
28,milk,restrictive,dobj,1.449,2.562,The cat will drink the milk
28,The,non-restrictive,det,0.021,0.063,The cat will push the milk
28,cat,non-restrictive,nsubj,0.126,0.441,The cat will push the milk
28,will,non-restrictive,aux,0.546,0.672,The cat will push the milk
28,push,non-restrictive,ROOT,0.777,1.071,The cat will push the milk
28,the,non-restrictive,det,1.176,1.239,The cat will push the milk
28,milk,non-restrictive,dobj,1.344,2.478,The cat will push the milk
29,The,restrictive,det,0.021,0.063,The grandmother will read the newspaper
29,grandmother,restrictive,nsubj,0.147,0.84,The grandmother will read the newspaper
29,will,restrictive,aux,1.176,1.302,The grandmother will read the newspaper
29,read,restrictive,ROOT,1.428,1.638,The grandmother will read the newspaper
29,the,restrictive,det,1.722,1.785,The grandmother will read the newspaper
29,newspaper,restrictive,dobj,1.911,2.793,The grandmother will read the newspaper
29,The,non-restrictive,det,0.021,0.063,The grandmother will turn the newspaper
29,grandmother,non-restrictive,nsubj,0.126,0.882,The grandmother will turn the newspaper
29,will,non-restrictive,aux,1.197,1.302,The grandmother will turn the newspaper
29,turn,non-restrictive,ROOT,1.386,1.659,The grandmother will turn the newspaper
29,the,non-restrictive,det,1.743,1.806,The grandmother will turn the newspaper
29,newspaper,non-restrictive,dobj,1.953,2.814,The grandmother will turn the newspaper
30,The,restrictive,det,0.021,0.063,The girl will roll the dice
30,girl,restrictive,nsubj,0.147,0.462,The girl will roll the dice
30,will,restrictive,aux,0.63,0.756,The girl will roll the dice
30,roll,restrictive,ROOT,0.924,1.155,The girl will roll the dice
30,the,restrictive,det,1.281,1.344,The girl will roll the dice
30,dice,restrictive,dobj,1.47,2.688,The girl will roll the dice
30,The,non-restrictive,det,0.021,0.063,The girl will grab the dice
30,girl,non-restrictive,nsubj,0.147,0.483,The girl will grab the dice
30,will,non-restrictive,aux,0.63,0.756,The girl will grab the dice
30,grab,non-restrictive,ROOT,0.861,1.239,The girl will grab the dice
30,the,non-restrictive,det,1.365,1.428,The girl will grab the dice
30,dice,non-restrictive,dobj,1.533,2.772,The girl will grab the dice
31,The,restrictive,det,0.021,0.063,The woman will open the bottle
31,woman,restrictive,nsubj,0.21,0.546,The woman will open the bottle
31,will,restrictive,aux,0.693,0.819,The woman will open the bottle
31,open,restrictive,ROOT,1.008,1.302,The woman will open the bottle
31,the,restrictive,det,1.407,1.47,The woman will open the bottle
31,bottle,restrictive,dobj,1.596,2.814,The woman will open the bottle
31,The,non-restrictive,det,0.021,0.063,The woman will examine the bottle
31,woman,non-restrictive,nsubj,0.21,0.525,The woman will examine the bottle
31,will,non-restrictive,aux,0.714,0.84,The woman will examine the bottle
31,examine,non-restrictive,ROOT,0.945,1.575,The woman will examine the bottle
31,the,non-restrictive,det,1.659,1.722,The woman will examine the bottle
31,bottle,non-restrictive,dobj,1.827,3.087,The woman will examine the bottle
32,The,restrictive,det,0.021,0.063,The woman will brew the beer
32,woman,restrictive,nsubj,0.189,0.525,The woman will brew the beer
32,will,restrictive,aux,0.672,0.798,The woman will brew the beer
32,brew,restrictive,ROOT,0.882,1.113,The woman will brew the beer
32,the,restrictive,det,1.218,1.302,The woman will brew the beer
32,beer,restrictive,dobj,1.407,2.667,The woman will brew the beer
32,The,non-restrictive,det,0.021,0.063,The woman will carry the beer
32,woman,non-restrictive,nsubj,0.189,0.525,The woman will carry the beer
32,will,non-restrictive,aux,0.63,0.756,The woman will carry the beer
32,carry,non-restrictive,ROOT,0.84,1.197,The woman will carry the beer
32,the,non-restrictive,det,1.323,1.386,The woman will carry the beer
32,beer,non-restrictive,dobj,1.512,2.772,The woman will carry the beer
33,The,restrictive,det,0.021,0.063,The boy will unzip the suitcase
33,boy,restrictive,nsubj,0.147,0.42,The boy will unzip the suitcase
33,will,restrictive,aux,0.546,0.693,The boy will unzip the suitcase
33,unzip,restrictive,ROOT,0.861,1.302,The boy will unzip the suitcase
33,the,restrictive,det,1.449,1.512,The boy will unzip the suitcase
33,suitcase,restrictive,dobj,1.68,3.192,The boy will unzip the suitcase
33,The,non-restrictive,det,0.021,0.063,The boy will open the suitcase
33,boy,non-restrictive,nsubj,0.147,0.441,The boy will open the suitcase
33,will,non-restrictive,aux,0.567,0.714,The boy will open the suitcase
33,open,non-restrictive,ROOT,0.882,1.155,The boy will open the suitcase
33,the,non-restrictive,det,1.26,1.344,The boy will open the suitcase
33,suitcase,non-restrictive,dobj,1.512,3.003,The boy will open the suitcase
34,The,restrictive,det,0.021,0.063,The boy will switch on the radio
34,boy,restrictive,nsubj,0.147,0.42,The boy will switch on the radio
34,will,restrictive,aux,0.546,0.693,The boy will switch on the radio
34,switch,restrictive,ROOT,0.84,1.197,The boy will switch on the radio
34,on,restrictive,prep,1.323,1.407,The boy will switch on the radio
34,the,restrictive,det,1.47,1.533,The boy will switch on the radio
34,radio,restrictive,pobj,1.701,3.15,The boy will switch on the radio
34,The,non-restrictive,det,0.021,0.063,The boy will move the radio
