onset_time,offset_time,duration_s,subject_id
2895.08838,2895.30249,0.21410999999989144,subject-1
2902.38257,2902.4834,0.10082999999985987,subject-1
2905.82568,2906.0,0.17432000000007974,subject-1
2916.79736,2917.04541,0.24805000000014843,subject-1
2918.83374,2919.03467,0.2009299999999712,subject-1
2925.23706,2925.35767,0.12060999999994237,subject-1
2928.2915,2928.35156,0.06006000000024869,subject-1
2932.67896,2932.87988,0.20091999999976906,subject-1
2942.97412,2943.03442,0.0603000000000975,subject-1
2946.64478,2946.79224,0.14746000000013737,subject-1
2951.21973,2951.41406,0.19433000000026368,subject-1
2961.97046,2962.03076,0.0603000000000975,subject-1
2969.09058,2969.29175,0.20116999999982,subject-1
2976.97437,2977.07495,0.10058000000026368,subject-1
2978.26733,2978.53516,0.2678299999997762,subject-1
2987.09546,2987.15576,0.0603000000000975,subject-1
2994.86548,2995.09326,0.22778000000016618,subject-1
2995.83008,2996.09131,0.26122999999961394,subject-1
3003.11108,3003.30542,0.19434000000001106,subject-1
3004.41064,3004.59155,0.18091000000003987,subject-1
3009.84277,3009.99023,0.14745999999968262,subject-1
3011.43018,3011.6311,0.2009200000002238,subject-1
3018.89233,3018.95239,0.060059999999793945,subject-1
3019.27368,3019.35425,0.08057000000007974,subject-1
3025.04126,3025.26221,0.2209499999999025,subject-1
3029.86353,3029.97095,0.10741999999981999,subject-1
3033.9563,3034.18091,0.22461000000021158,subject-1
3050.6687,3050.72876,0.060059999999793945,subject-1
3050.99683,3051.21753,0.22069999999985157,subject-1
3052.04126,3052.22925,0.18798999999989974,subject-1
3053.74976,3053.81006,0.06029999999964275,subject-1
3057.76855,3057.90259,0.1340400000003683,subject-1
3063.4021,3063.60303,0.20093000000042593,subject-1
3069.83887,3069.89893,0.060059999999793945,subject-1
3075.23096,3075.4519,0.22094000000015512,subject-1
3077.05981,3077.22046,0.160649999999805,subject-1
3089.66577,3089.84668,0.18091000000003987,subject-1
3092.05029,3092.271,0.2207100000000537,subject-1
3094.60229,3094.7832,0.18091000000003987,subject-1
3104.04028,3104.10059,0.06030999999984488,subject-1
3104.19434,3104.25464,0.0603000000000975,subject-1
3110.35669,3110.56396,0.20726999999988038,subject-1
3116.93433,3117.16211,0.22778000000016618,subject-1
3118.03955,3118.2002,0.16065000000025975,subject-1
3127.74536,3127.80566,0.0603000000000975,subject-1
3134.64429,3134.70483,0.0605399999999463,subject-1
3135.23364,3135.48828,0.25464000000010856,subject-1
3136.20508,3136.26514,0.060059999999793945,subject-1
3136.67358,3136.73438,0.060799999999744614,subject-1
3144.13574,3144.34351,0.20776999999998225,subject-1
3154.36426,3154.43115,0.06689000000005763,subject-1
3166.78271,3166.84302,0.06030999999984488,subject-1
3166.87646,3166.93677,0.06030999999984488,subject-1
3179.9314,3180.11865,0.18724999999994907,subject-1
3186.17407,3186.41504,0.24096999999983382,subject-1
3196.5564,3196.6167,0.0603000000000975,subject-1
3196.81714,3196.87793,0.060789999999997235,subject-1
3205.39771,3205.4585,0.060789999999997235,subject-1
