method,condition,overall_spearman_rho,overall_spearman_p,n_object_points,mean_js_divergence_bits,n_items_with_js
all_saccades,restrictive,0.25177608370976856,0.000862946176180218,172,0.4507332269257482,43
all_saccades,non-restrictive,0.1531435963718195,0.09081894034229043,123,0.39376047152515803,41
first_saccade_only,restrictive,0.16245101707361206,0.03324156488303566,172,0.5332377861778587,43
first_saccade_only,non-restrictive,0.08174066824620894,0.38095668744584793,117,0.4521949033811705,39
