stimuliId,condition,obj,count_per_obj_per_part,percentages,countOfNonZeroParticipants,is_target
13,non-restrictive,car,202,0.696551724137931,5.0,0
13,non-restrictive,sun,2,0.006896551724137931,5.0,0
13,restrictive,birds,85,1.0,1.0,0
13,restrictive,boat,0,0.0,1.0,1
13,restrictive,car,0,0.0,1.0,0
13,restrictive,sun,0,0.0,1.0,0
14,non-restrictive,briefcase,21,0.10714285714285714,4.0,0
14,non-restrictive,cigarettes,114,0.5816326530612245,4.0,1
14,non-restrictive,filofax,59,0.3010204081632653,4.0,0
14,non-restrictive,glasses,2,0.01020408163265306,4.0,0
14,restrictive,briefcase,31,0.0640495867768595,8.0,0
14,restrictive,cigarettes,244,0.5041322314049587,8.0,1
14,restrictive,filofax,188,0.3884297520661157,8.0,0
14,restrictive,glasses,21,0.04338842975206612,8.0,0
15,non-restrictive,ball,148,0.6244725738396625,6.0,0
15,non-restrictive,bird,51,0.21518987341772153,6.0,0
15,non-restrictive,dog,38,0.16033755274261605,6.0,1
15,non-restrictive,hen,0,0.0,6.0,0
15,restrictive,ball,47,0.4563106796116505,3.0,0
15,restrictive,bird,9,0.08737864077669903,3.0,0
15,restrictive,dog,0,0.0,3.0,1
15,restrictive,hen,47,0.4563106796116505,3.0,0
16,non-restrictive,folder,219,0.7041800643086816,6.0,0
16,non-restrictive,hat,0,0.0,6.0,1
16,non-restrictive,magnifying-glass,3,0.00964630225080386,6.0,0
16,non-restrictive,wallet,89,0.2861736334405145,6.0,0
16,restrictive,folder,0,0.0,2.0,0
16,restrictive,hat,78,0.9176470588235294,2.0,1
16,restrictive,magnifying-glass,0,0.0,2.0,0
16,restrictive,wallet,7,0.08235294117647059,2.0,0
17,non-restrictive,backpack,0,0.0,6.0,0
17,non-restrictive,dress,49,0.20416666666666666,6.0,1
17,non-restrictive,lantern,60,0.25,6.0,0
17,non-restrictive,ribbon,131,0.5458333333333333,6.0,0
17,restrictive,backpack,34,0.6538461538461539,3.0,0
17,restrictive,dress,9,0.17307692307692307,3.0,1
17,restrictive,lantern,0,0.0,3.0,0
17,restrictive,ribbon,9,0.17307692307692307,3.0,0
18,non-restrictive,bucket,51,0.8095238095238095,1.0,0
18,non-restrictive,rope,0,0.0,1.0,0
18,non-restrictive,stone,0,0.0,1.0,0
18,non-restrictive,wood,12,0.19047619047619047,1.0,1
18,restrictive,bucket,100,0.3460207612456747,4.0,0
18,restrictive,rope,101,0.3494809688581315,4.0,0
18,restrictive,stone,35,0.12110726643598616,4.0,0
18,restrictive,wood,53,0.18339100346020762,4.0,1
19,non-restrictive,feather,0,0.0,4.0,0
19,non-restrictive,football,157,0.7772277227722773,4.0,1
19,non-restrictive,leaf,0,0.0,4.0,0
19,non-restrictive,stick,45,0.22277227722772278,4.0,0
19,restrictive,feather,0,0.0,3.0,0
19,restrictive,football,68,0.38857142857142857,3.0,1
19,restrictive,leaf,7,0.04,3.0,0
19,restrictive,stick,100,0.5714285714285714,3.0,0
20,non-restrictive,bowl,0,,,0
20,non-restrictive,bread,0,,,1
20,non-restrictive,spatula,0,,,0
20,non-restrictive,spoon,0,,,0
20,restrictive,bowl,27,0.11842105263157894,5.0,0
20,restrictive,bread,141,0.618421052631579,5.0,1
20,restrictive,spatula,30,0.13157894736842105,5.0,0
20,restrictive,spoon,30,0.13157894736842105,5.0,0
21,non-restrictive,block,144,0.35910224438902744,6.0,0
21,non-restrictive,crayon,0,0.0,6.0,0
21,non-restrictive,cup,122,0.30423940149625933,6.0,0
21,non-restrictive,kitten,135,0.33665835411471323,6.0,1
21,restrictive,block,0,0.0,3.0,0
21,restrictive,crayon,57,0.6404494382022472,3.0,0
21,restrictive,cup,32,0.3595505617977528,3.0,0
21,restrictive,kitten,0,0.0,3.0,1
22,non-restrictive,cushion,0,0.0,1.0,0
22,non-restrictive,flower,0,0.0,1.0,1
22,non-restrictive,magazine,19,0.2638888888888889,1.0,0
22,non-restrictive,vase,53,0.7361111111111112,1.0,0
22,restrictive,cushion,24,0.08333333333333333,8.0,0
22,restrictive,flower,28,0.09722222222222222,8.0,1
22,restrictive,magazine,24,0.08333333333333333,8.0,0
22,restrictive,vase,212,0.7361111111111112,8.0,0
23,non-restrictive,coat,10,0.04784688995215311,4.0,1
23,non-restrictive,hook,140,0.6698564593301436,4.0,0
23,non-restrictive,poster,58,0.27751196172248804,4.0,0
23,non-restrictive,towel,1,0.004784688995215311,4.0,0
23,restrictive,coat,26,1.0,1.0,1
23,restrictive,hook,0,0.0,1.0,0
23,restrictive,poster,0,0.0,1.0,0
23,restrictive,towel,0,0.0,1.0,0
24,non-restrictive,card,45,0.34615384615384615,2.0,0
24,non-restrictive,needle,6,0.046153846153846156,2.0,0
24,non-restrictive,pencil,0,0.0,2.0,0
24,non-restrictive,scarf,79,0.6076923076923076,2.0,1
24,restrictive,card,0,0.0,5.0,0
24,restrictive,needle,0,0.0,5.0,0
24,restrictive,pencil,104,0.5777777777777777,5.0,0
24,restrictive,scarf,76,0.4222222222222222,5.0,1
25,non-restrictive,glass,88,0.24444444444444444,5.0,0
25,non-restrictive,plate,66,0.18333333333333332,5.0,0
25,non-restrictive,potato,82,0.22777777777777777,5.0,0
25,non-restrictive,rabbit,124,0.34444444444444444,5.0,1
25,restrictive,glass,27,0.19148936170212766,3.0,0
25,restrictive,plate,0,0.0,3.0,0
25,restrictive,potato,0,0.0,3.0,0
25,restrictive,rabbit,114,0.8085106382978723,3.0,1
26,non-restrictive,canvas,9,0.34615384615384615,2.0,1
26,non-restrictive,keyboard,0,0.0,2.0,0
26,non-restrictive,peach,0,0.0,2.0,0
26,non-restrictive,rope,17,0.6538461538461539,2.0,0
26,restrictive,canvas,23,0.107981220657277,5.0,1
26,restrictive,keyboard,71,0.3333333333333333,5.0,0
26,restrictive,peach,119,0.5586854460093896,5.0,0
26,restrictive,rope,0,0.0,5.0,0
27,non-restrictive,candle,53,0.17491749174917492,7.0,1
27,non-restrictive,coaster,39,0.12871287128712872,7.0,0
27,non-restrictive,coin,2,0.006600660066006601,7.0,0
27,non-restrictive,package,209,0.6897689768976898,7.0,0
27,restrictive,candle,81,0.2967032967032967,3.0,1
