item,condition,object,n_chose,n_participants_engaged,n_participants_total,human_prob,pct_elsewhere
14,non-restrictive,filofax,1,2,12.0,0.5,0.833333
15,restrictive,dog,0,2,12.0,0.0,0.833333
15,restrictive,ball,1,2,12.0,0.5,0.833333
15,restrictive,bird,0,2,12.0,0.0,0.833333
15,restrictive,hen,1,2,12.0,0.5,0.833333
15,non-restrictive,dog,0,3,12.0,0.0,0.75
15,non-restrictive,bird,1,3,12.0,0.3333333333333333,0.75
15,non-restrictive,hen,0,3,12.0,0.0,0.75
15,non-restrictive,ball,2,3,12.0,0.6666666666666666,0.75
16,restrictive,hat,0,1,12.0,0.0,0.916667
16,restrictive,wallet,1,1,12.0,1.0,0.916667
16,restrictive,folder,0,1,12.0,0.0,0.916667
16,restrictive,magnifying glass,0,1,12.0,0.0,0.916667
16,non-restrictive,hat,0,2,12.0,0.0,0.833333
16,non-restrictive,wallet,0,2,12.0,0.0,0.833333
16,non-restrictive,folder,2,2,12.0,1.0,0.833333
16,non-restrictive,magnifying glass,0,2,12.0,0.0,0.833333
17,restrictive,dress,1,2,12.0,0.5,0.833333
17,restrictive,ribbon,0,2,12.0,0.0,0.833333
17,restrictive,backpack,1,2,12.0,0.5,0.833333
17,restrictive,lantern,0,2,12.0,0.0,0.833333
17,non-restrictive,backpack,0,3,12.0,0.0,0.75
17,non-restrictive,dress,0,3,12.0,0.0,0.75
17,non-restrictive,lantern,1,3,12.0,0.3333333333333333,0.75
17,non-restrictive,ribbon,2,3,12.0,0.6666666666666666,0.75
18,restrictive,wood,1,2,12.0,0.5,0.833333
18,restrictive,rope,0,2,12.0,0.0,0.833333
18,restrictive,stone,1,2,12.0,0.5,0.833333
18,restrictive,bucket,0,2,12.0,0.0,0.833333
18,non-restrictive,stone,0,1,12.0,0.0,0.916667
18,non-restrictive,rope,0,1,12.0,0.0,0.916667
18,non-restrictive,bucket,1,1,12.0,1.0,0.916667
18,non-restrictive,wood,0,1,12.0,0.0,0.916667
19,restrictive,football,0,1,12.0,0.0,0.916667
19,restrictive,stick,0,1,12.0,0.0,0.916667
19,restrictive,leaf,1,1,12.0,1.0,0.916667
19,restrictive,feather,0,1,12.0,0.0,0.916667
19,non-restrictive,stick,1,3,12.0,0.3333333333333333,0.75
19,non-restrictive,football,2,3,12.0,0.6666666666666666,0.75
19,non-restrictive,leaf,0,3,12.0,0.0,0.75
19,non-restrictive,feather,0,3,12.0,0.0,0.75
20,restrictive,bread,1,2,12.0,0.5,0.833333
20,restrictive,bowl,0,2,12.0,0.0,0.833333
20,restrictive,spoon,1,2,12.0,0.5,0.833333
20,restrictive,spatula,0,2,12.0,0.0,0.833333
20,non-restrictive,bowl,0,0,12.0,,1.0
20,non-restrictive,bread,0,0,12.0,,1.0
20,non-restrictive,spoon,0,0,12.0,,1.0
20,non-restrictive,spatula,0,0,12.0,,1.0
21,restrictive,kitten,0,1,12.0,0.0,0.916667
21,restrictive,cup,1,1,12.0,1.0,0.916667
21,restrictive,block,0,1,12.0,0.0,0.916667
21,restrictive,crayon,0,1,12.0,0.0,0.916667
21,non-restrictive,cup,1,4,12.0,0.25,0.666667
21,non-restrictive,kitten,2,4,12.0,0.5,0.666667
21,non-restrictive,block,1,4,12.0,0.25,0.666667
21,non-restrictive,crayon,0,4,12.0,0.0,0.666667
22,restrictive,flower,1,4,12.0,0.25,0.666667
22,restrictive,magazine,0,4,12.0,0.0,0.666667
22,restrictive,vase,3,4,12.0,0.75,0.666667
22,restrictive,cushion,0,4,12.0,0.0,0.666667
22,non-restrictive,flower,0,1,12.0,0.0,0.916667
22,non-restrictive,magazine,1,1,12.0,1.0,0.916667
22,non-restrictive,cushion,0,1,12.0,0.0,0.916667
22,non-restrictive,vase,0,1,12.0,0.0,0.916667
23,restrictive,coat,0,0,12.0,,1.0
23,restrictive,hook,0,0,12.0,,1.0
23,restrictive,towel,0,0,12.0,,1.0
23,restrictive,poster,0,0,12.0,,1.0
23,non-restrictive,poster,0,3,12.0,0.0,0.75
23,non-restrictive,towel,0,3,12.0,0.0,0.75
23,non-restrictive,coat,1,3,12.0,0.3333333333333333,0.75
23,non-restrictive,hook,2,3,12.0,0.6666666666666666,0.75
24,restrictive,scarf,1,1,12.0,1.0,0.916667
24,restrictive,needle,0,1,12.0,0.0,0.916667
24,restrictive,card,0,1,12.0,0.0,0.916667
24,restrictive,pencil,0,1,12.0,0.0,0.916667
24,non-restrictive,card,0,2,12.0,0.0,0.833333
24,non-restrictive,pencil,0,2,12.0,0.0,0.833333
24,non-restrictive,scarf,1,2,12.0,0.5,0.833333
24,non-restrictive,needle,1,2,12.0,0.5,0.833333
25,restrictive,rabbit,1,2,12.0,0.5,0.833333
25,restrictive,glass,1,2,12.0,0.5,0.833333
25,restrictive,plate,0,2,12.0,0.0,0.833333
25,restrictive,potato,0,2,12.0,0.0,0.833333
25,non-restrictive,glass,0,4,12.0,0.0,0.666667
25,non-restrictive,plate,1,4,12.0,0.25,0.666667
25,non-restrictive,rabbit,2,4,12.0,0.5,0.666667
25,non-restrictive,potato,1,4,12.0,0.25,0.666667
26,restrictive,canvas,0,2,12.0,0.0,0.833333
26,restrictive,rope,0,2,12.0,0.0,0.833333
26,restrictive,keyboard,1,2,12.0,0.5,0.833333
26,restrictive,peach,1,2,12.0,0.5,0.833333
26,non-restrictive,rope,0,0,12.0,,1.0
26,non-restrictive,keyboard,0,0,12.0,,1.0
26,non-restrictive,canvas,0,0,12.0,,1.0
