subject_id,pct_valid_overall,pct_valid_min_trial,pct_valid_median_trial
subject-1,96.18,91.24,96.53
subject-19,94.69,84.95,95.42
subject-20,82.96,74.2,82.69
subject-21,98.26,93.46,97.93
subject-7,95.88,85.02,96.87
subject-8,92.05,81.13,92.92
