subject_id,n_trials_checked,n_condition_mismatch,n_target_position_mismatch
subject-1,50,0,0
subject-19,50,0,0
subject-20,50,0,0
subject-21,50,0,0
subject-7,50,0,0
subject-8,50,0,0
