subject_id,n_trials_expected,n_START_TRIAL,pct_START_TRIAL_complete,n_SUBJECT_ONSET_LOG,pct_SUBJECT_ONSET_LOG_complete,n_AUDIO_FILE_ONSET_LOG,pct_AUDIO_FILE_ONSET_LOG_complete,n_AUDIO_FILE_OFFSET,pct_AUDIO_FILE_OFFSET_complete,n_STOP_TRIAL,pct_STOP_TRIAL_complete,n_ordering_violations
subject-1,50,50,100.0,50,100.0,50,100.0,50,100.0,33,66.0,0
subject-2,50,50,100.0,50,100.0,50,100.0,50,100.0,33,66.0,0
subject-3,50,50,100.0,50,100.0,50,100.0,50,100.0,35,70.0,0
subject-4,50,50,100.0,50,100.0,50,100.0,50,100.0,40,80.0,0
subject-5,50,50,100.0,50,100.0,50,100.0,50,100.0,34,68.0,0
