subject_id,logged_resolution,pct_x_outside_01,pct_y_outside_01
subject-1,"('2560', '1440')",0.02,0.06
subject-2,"('2560', '1440')",0.14,0.19
subject-3,"('2560', '1440')",0.2,0.98
subject-4,"('2560', '1440')",0.03,0.04
subject-5,"('2560', '1440')",2.14,2.62
