subject_id,n_non-restrictive,n_restrictive,n_target_pos1,n_target_pos2,n_target_pos3,n_target_pos4
subject-1,25,25,13,13,12,12
subject-19,25,25,12,13,13,12
subject-20,25,25,12,12,13,13
subject-21,25,25,12,12,13,13
subject-7,25,25,13,12,12,13
subject-8,25,25,13,13,12,12
