subject_id,trial,sentence_id,condition,target_position,prop_target,prop_distractor_mean,target_advantage,no_object_gaze
subject-2,40,13,non-restrictive,3,0.0,0.0,0.0,True
subject-2,41,49,non-restrictive,3,0.0,0.0,0.0,True
subject-2,42,41,non-restrictive,3,0.0,0.0,0.0,True
subject-2,43,9,non-restrictive,3,0.0,0.0,0.0,True
subject-2,44,0,restrictive,2,0.0,0.0,0.0,True
subject-2,45,30,restrictive,4,0.0,0.0,0.0,True
subject-2,46,39,non-restrictive,1,0.0,0.0,0.0,True
subject-2,47,43,non-restrictive,1,0.0,0.0,0.0,True
subject-2,48,20,restrictive,2,0.0,0.0,0.0,True
subject-2,49,2,restrictive,4,0.0,0.0,0.0,True
subject-3,0,13,restrictive,3,0.0,0.0,0.0,True
subject-3,1,1,restrictive,3,1.0,0.0,1.0,False
subject-3,2,33,restrictive,3,0.0,0.3333,-0.3333,False
subject-3,3,32,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-3,4,46,non-restrictive,4,1.0,0.0,1.0,False
subject-3,5,18,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-3,6,20,non-restrictive,2,0.0,0.0,0.0,True
subject-3,8,38,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-3,9,9,restrictive,3,0.0,0.0,0.0,True
subject-3,10,11,restrictive,1,0.0,0.0,0.0,True
subject-3,11,15,restrictive,1,0.0,0.0,0.0,True
subject-3,12,47,restrictive,1,1.0,0.0,1.0,False
subject-3,13,31,restrictive,1,0.0,0.0,0.0,True
subject-3,14,6,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-3,15,30,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-3,16,36,non-restrictive,2,0.0,0.0,0.0,True
subject-3,17,14,non-restrictive,4,0.0,0.0,0.0,True
subject-3,18,29,restrictive,3,1.0,0.0,1.0,False
subject-3,19,16,non-restrictive,2,0.2008,0.2664,-0.0656,False
subject-3,20,42,non-restrictive,4,0.0,0.0,0.0,True
subject-3,21,48,non-restrictive,2,1.0,0.0,1.0,False
subject-3,22,27,restrictive,1,0.0,0.0,0.0,True
subject-3,23,5,restrictive,3,1.0,0.0,1.0,False
subject-3,24,2,non-restrictive,4,1.0,0.0,1.0,False
subject-3,25,49,restrictive,3,0.0,0.0,0.0,True
subject-3,26,41,restrictive,3,1.0,0.0,1.0,False
subject-3,27,22,non-restrictive,4,0.0,0.0,0.0,True
subject-3,28,21,restrictive,3,0.0,0.3333,-0.3333,False
subject-3,29,4,non-restrictive,2,0.0,0.0,0.0,True
subject-3,30,26,non-restrictive,4,0.0,0.0,0.0,True
subject-3,31,8,non-restrictive,2,0.0,0.0,0.0,True
subject-3,32,37,restrictive,3,0.0,0.0,0.0,True
subject-3,33,28,non-restrictive,2,0.0,0.0,0.0,True
