item	condition	subject_id	chosen_object	first_saccade_landing_aoi
41	non-restrictive	subject-11		subject
17	non-restrictive	subject-11	lantern	pos3
10	restrictive	subject-11	bag	pos2
4	restrictive	subject-11		
7	non-restrictive	subject-11		subject
22	restrictive	subject-11		elsewhere
28	restrictive	subject-11		elsewhere
27	non-restrictive	subject-11		subject
45	non-restrictive	subject-11		
25	non-restrictive	subject-11	potato	pos4
21	non-restrictive	subject-11		
18	restrictive	subject-11		
9	non-restrictive	subject-11	piano	pos2
43	non-restrictive	subject-11		
19	non-restrictive	subject-11		
5	non-restrictive	subject-11		
8	restrictive	subject-11		
47	non-restrictive	subject-11		
49	non-restrictive	subject-11		elsewhere
37	non-restrictive	subject-11		
32	restrictive	subject-11		
16	restrictive	subject-11		
1	non-restrictive	subject-11		
12	restrictive	subject-11		
36	restrictive	subject-11		
34	restrictive	subject-11		elsewhere
40	restrictive	subject-11		
39	non-restrictive	subject-11		
35	non-restrictive	subject-11		
13	non-restrictive	subject-11		subject
46	restrictive	subject-11		
50	restrictive	subject-11		elsewhere
26	restrictive	subject-11		
48	restrictive	subject-11		subject
14	restrictive	subject-11		
29	non-restrictive	subject-11		
4	non-restrictive	subject-12		
32	non-restrictive	subject-12		elsewhere
23	restrictive	subject-12		
24	non-restrictive	subject-12		
28	non-restrictive	subject-12		
29	restrictive	subject-12		
47	restrictive	subject-12		elsewhere
8	non-restrictive	subject-12		
45	restrictive	subject-12		subject
19	restrictive	subject-12		
25	restrictive	subject-12		
37	restrictive	subject-12		
41	restrictive	subject-12		
22	non-restrictive	subject-12		subject
38	non-restrictive	subject-12		subject
26	non-restrictive	subject-12		subject
48	non-restrictive	subject-12		subject
40	non-restrictive	subject-12		
13	restrictive	subject-12		
5	restrictive	subject-12		elsewhere
31	restrictive	subject-12		subject
20	non-restrictive	subject-12		subject
33	restrictive	subject-12		subject
7	restrictive	subject-12		subject
36	non-restrictive	subject-12		
16	non-restrictive	subject-12		
34	non-restrictive	subject-12		
50	non-restrictive	subject-12		
12	non-restrictive	subject-12		elsewhere
3	restrictive	subject-12		subject
11	restrictive	subject-12		elsewhere
1	restrictive	subject-12		
14	non-restrictive	subject-12		
43	restrictive	subject-12		subject
27	restrictive	subject-12		
15	restrictive	subject-12	ball	pos3
2	non-restrictive	subject-12		
49	restrictive	subject-12		subject
30	non-restrictive	subject-12		
10	non-restrictive	subject-12		elsewhere
46	non-restrictive	subject-12		
18	non-restrictive	subject-12		
39	restrictive	subject-12		subject
17	restrictive	subject-12		
21	restrictive	subject-12		
44	non-restrictive	subject-12		elsewhere
6	non-restrictive	subject-12		subject
42	non-restrictive	subject-12		
9	restrictive	subject-12		
12	restrictive	subject-13		
3	non-restrictive	subject-13		
34	restrictive	subject-13		
31	non-restrictive	subject-13		
16	restrictive	subject-13		
39	non-restrictive	subject-13	apron	pos1
40	restrictive	subject-13		
24	restrictive	subject-13		
42	restrictive	subject-13	shell	pos3
9	non-restrictive	subject-13		
14	restrictive	subject-13	cigarettes	pos4
36	restrictive	subject-13		
43	non-restrictive	subject-13	apple	pos2
25	non-restrictive	subject-13		
10	restrictive	subject-13	bag	pos3
1	non-restrictive	subject-13		
44	restrictive	subject-13	pan	pos3
7	non-restrictive	subject-13		
38	restrictive	subject-13		elsewhere
18	restrictive	subject-13		
32	restrictive	subject-13	lemon	pos3
47	non-restrictive	subject-13	violin	pos1
17	non-restrictive	subject-13		
13	non-restrictive	subject-13	boat	pos3
8	restrictive	subject-13	toy bear	pos4
48	restrictive	subject-13		elsewhere
45	non-restrictive	subject-13		
29	non-restrictive	subject-13		
15	non-restrictive	subject-13		elsewhere
23	non-restrictive	subject-13	hook	pos2
19	non-restrictive	subject-13	stick	pos2
11	non-restrictive	subject-13	wastebin	pos4
20	restrictive	subject-13		elsewhere
26	restrictive	subject-13		elsewhere
2	restrictive	subject-13	lipstick	pos3
46	restrictive	subject-13		elsewhere
27	non-restrictive	subject-13		
30	restrictive	subject-13		
5	non-restrictive	subject-13	shuttle cock	pos2
33	non-restrictive	subject-13	kettle	pos2
41	non-restrictive	subject-13	blouse	pos3
49	non-restrictive	subject-13		
4	restrictive	subject-13	baby	pos2
37	non-restrictive	subject-13		elsewhere
35	non-restrictive	subject-13		subject
50	restrictive	subject-13	stamp	pos4
6	restrictive	subject-13		
28	restrictive	subject-13		
21	non-restrictive	subject-13		
22	restrictive	subject-13	vase	pos2
34	non-restrictive	subject-14		
46	non-restrictive	subject-14		elsewhere
3	restrictive	subject-14		elsewhere
37	restrictive	subject-14		elsewhere
14	non-restrictive	subject-14		
47	restrictive	subject-14	bow	pos3
29	restrictive	subject-14		elsewhere
11	restrictive	subject-14	washing machine	pos2
33	restrictive	subject-14		
32	non-restrictive	subject-14		elsewhere
26	non-restrictive	subject-14		
48	non-restrictive	subject-14	footstool	pos2
4	non-restrictive	subject-14	stool	pos1
49	restrictive	subject-14		subject
7	restrictive	subject-14	jug	pos1
5	restrictive	subject-14		
22	non-restrictive	subject-14		
1	restrictive	subject-14		
40	non-restrictive	subject-14		
38	non-restrictive	subject-14		
17	restrictive	subject-14		elsewhere
9	restrictive	subject-14	table	pos1
19	restrictive	subject-14		
8	non-restrictive	subject-14		
25	restrictive	subject-14	rabbit	pos4
13	restrictive	subject-14		
20	non-restrictive	subject-14		
12	non-restrictive	subject-14		
21	restrictive	subject-14	cup	pos3
31	restrictive	subject-14		
15	restrictive	subject-14		
23	restrictive	subject-14		
6	non-restrictive	subject-14		
36	non-restrictive	subject-14	brush	pos4
30	non-restrictive	subject-14	tissue	pos4
18	non-restrictive	subject-14		
28	non-restrictive	subject-14		
41	restrictive	subject-14		
45	restrictive	subject-14		
50	non-restrictive	subject-14		
24	non-restrictive	subject-14	needle	pos1
10	non-restrictive	subject-14		subject
2	non-restrictive	subject-14		
39	restrictive	subject-14		elsewhere
27	restrictive	subject-14	package	pos3
44	non-restrictive	subject-14		
42	non-restrictive	subject-14		subject
43	restrictive	subject-14	apple	pos3
16	non-restrictive	subject-14	folder	pos2
1	non-restrictive	subject-15		subject
30	restrictive	subject-15		
37	non-restrictive	subject-15		
44	restrictive	subject-15		
12	restrictive	subject-15		
35	non-restrictive	subject-15		
43	non-restrictive	subject-15		
45	non-restrictive	subject-15		
15	non-restrictive	subject-15		
49	non-restrictive	subject-15		
46	restrictive	subject-15		
48	restrictive	subject-15		
40	restrictive	subject-15		
8	restrictive	subject-15		
39	non-restrictive	subject-15		
26	restrictive	subject-15		
13	non-restrictive	subject-15		
7	non-restrictive	subject-15		
42	restrictive	subject-15		
11	non-restrictive	subject-15		elsewhere
38	restrictive	subject-15		
6	restrictive	subject-15		
10	restrictive	subject-15	door	pos2
14	restrictive	subject-15		
2	restrictive	subject-15		
27	non-restrictive	subject-15		
34	restrictive	subject-15		
29	non-restrictive	subject-15		
36	restrictive	subject-15		
28	restrictive	subject-15		
47	non-restrictive	subject-15		
41	non-restrictive	subject-15		
33	non-restrictive	subject-15		
9	non-restrictive	subject-15		
5	non-restrictive	subject-15		
17	non-restrictive	subject-15		
18	restrictive	subject-15		
32	restrictive	subject-15		
20	restrictive	subject-15		
25	non-restrictive	subject-15	plate	pos1
31	non-restrictive	subject-15		
3	non-restrictive	subject-15		
24	restrictive	subject-15		
50	restrictive	subject-15		
23	non-restrictive	subject-15		
4	restrictive	subject-15		
22	restrictive	subject-15		
16	restrictive	subject-15		
21	non-restrictive	subject-15		
19	non-restrictive	subject-15		
15	restrictive	subject-16		
28	non-restrictive	subject-16	picture	pos3
21	restrictive	subject-16		
45	restrictive	subject-16	dough	pos1
8	non-restrictive	subject-16		
6	non-restrictive	subject-16	mountain	pos2
7	restrictive	subject-16		
37	restrictive	subject-16		
50	non-restrictive	subject-16	stamp	pos2
12	non-restrictive	subject-16		
38	non-restrictive	subject-16		
34	non-restrictive	subject-16		
19	restrictive	subject-16		elsewhere
47	restrictive	subject-16		
32	non-restrictive	subject-16		
30	non-restrictive	subject-16		
25	restrictive	subject-16		
36	non-restrictive	subject-16		
9	restrictive	subject-16		
3	restrictive	subject-16		
44	non-restrictive	subject-16		
22	non-restrictive	subject-16		
18	non-restrictive	subject-16		
20	non-restrictive	subject-16		
1	restrictive	subject-16		
41	restrictive	subject-16		
10	non-restrictive	subject-16		
16	non-restrictive	subject-16		
33	restrictive	subject-16		
49	restrictive	subject-16		
29	restrictive	subject-16	milk	pos1
24	non-restrictive	subject-16		
17	restrictive	subject-16		
14	non-restrictive	subject-16		
2	non-restrictive	subject-16		
46	non-restrictive	subject-16	carrot	pos2
13	restrictive	subject-16		
26	non-restrictive	subject-16		
4	non-restrictive	subject-16		
39	restrictive	subject-16		
27	restrictive	subject-16		
31	restrictive	subject-16		
5	restrictive	subject-16	shuttle cock	pos4
43	restrictive	subject-16		
11	restrictive	subject-16		
40	non-restrictive	subject-16		
42	non-restrictive	subject-16		
48	non-restrictive	subject-16		
23	restrictive	subject-16		
37	non-restrictive	subject-17		subject
4	restrictive	subject-17		subject
12	restrictive	subject-17		subject
49	non-restrictive	subject-17		
10	restrictive	subject-17		subject
42	restrictive	subject-17		
35	non-restrictive	subject-17		elsewhere
32	restrictive	subject-17		
31	non-restrictive	subject-17		
45	non-restrictive	subject-17		subject
38	restrictive	subject-17	marker	pos4
16	restrictive	subject-17		
25	non-restrictive	subject-17		
28	restrictive	subject-17		subject
21	non-restrictive	subject-17		subject
41	non-restrictive	subject-17		elsewhere
15	non-restrictive	subject-17		
34	restrictive	subject-17		elsewhere
11	non-restrictive	subject-17		elsewhere
50	restrictive	subject-17		
39	non-restrictive	subject-17		subject
20	restrictive	subject-17		
30	restrictive	subject-17		elsewhere
33	non-restrictive	subject-17	biscuit	pos3
6	restrictive	subject-17	mountain	pos2
9	non-restrictive	subject-17		
5	non-restrictive	subject-17		elsewhere
46	restrictive	subject-17		elsewhere
43	non-restrictive	subject-17		elsewhere
47	non-restrictive	subject-17		
26	restrictive	subject-17		subject
18	restrictive	subject-17	wood	pos2
36	restrictive	subject-17		subject
7	non-restrictive	subject-17		subject
48	restrictive	subject-17		subject
13	non-restrictive	subject-17		
29	non-restrictive	subject-17		elsewhere
24	restrictive	subject-17		
22	restrictive	subject-17		subject
23	non-restrictive	subject-17		
2	restrictive	subject-17		
14	restrictive	subject-17	cigarettes	pos2
3	non-restrictive	subject-17		
8	restrictive	subject-17		
40	restrictive	subject-17		
1	non-restrictive	subject-17	toy car	pos2
27	non-restrictive	subject-17		elsewhere
