item	condition	subject_id	chosen_object	first_saccade_landing_aoi
46	restrictive	subject-21		
35	non-restrictive	subject-21		subject
45	non-restrictive	subject-21		elsewhere
48	restrictive	subject-21		subject
49	non-restrictive	subject-21	pouch	pos2
6	restrictive	subject-21	moon	pos3
36	restrictive	subject-21		
33	non-restrictive	subject-21		subject
13	non-restrictive	subject-21		
46	non-restrictive	subject-22		
8	non-restrictive	subject-22	microscope	pos2
30	non-restrictive	subject-22		
39	restrictive	subject-22		
7	restrictive	subject-22		
50	non-restrictive	subject-22		
6	non-restrictive	subject-22		
32	non-restrictive	subject-22		
21	restrictive	subject-22		
26	non-restrictive	subject-22		subject
48	non-restrictive	subject-22		
45	restrictive	subject-22		
1	restrictive	subject-22		
38	non-restrictive	subject-22		
27	restrictive	subject-22		
22	non-restrictive	subject-22		
19	restrictive	subject-22		
40	non-restrictive	subject-22		subject
2	non-restrictive	subject-22		
37	restrictive	subject-22		
23	restrictive	subject-22		
16	non-restrictive	subject-22		
17	restrictive	subject-22		
18	non-restrictive	subject-22		
15	restrictive	subject-22		
24	non-restrictive	subject-22		subject
34	non-restrictive	subject-22		
31	restrictive	subject-22		
25	restrictive	subject-22		
11	restrictive	subject-22		
20	non-restrictive	subject-22		
13	restrictive	subject-22		
41	restrictive	subject-22		
4	non-restrictive	subject-22		
47	restrictive	subject-22		subject
9	restrictive	subject-22		
28	non-restrictive	subject-22		
10	non-restrictive	subject-22		
43	restrictive	subject-22		
3	restrictive	subject-22		
14	non-restrictive	subject-22	cigarettes	pos1
49	restrictive	subject-22		
12	non-restrictive	subject-22		
42	non-restrictive	subject-22		
44	non-restrictive	subject-22		
5	restrictive	subject-22		
36	non-restrictive	subject-22		elsewhere
29	restrictive	subject-22		
33	restrictive	subject-22		
25	non-restrictive	subject-23		elsewhere
4	restrictive	subject-23		subject
7	non-restrictive	subject-23		subject
45	non-restrictive	subject-23		elsewhere
10	restrictive	subject-23		
12	restrictive	subject-23		elsewhere
19	non-restrictive	subject-23		
43	non-restrictive	subject-23		elsewhere
24	restrictive	subject-23		elsewhere
47	non-restrictive	subject-23		elsewhere
27	non-restrictive	subject-23		elsewhere
8	restrictive	subject-23		subject
42	restrictive	subject-23		elsewhere
48	restrictive	subject-23		
11	non-restrictive	subject-23		elsewhere
35	non-restrictive	subject-23		subject
30	restrictive	subject-23		
50	restrictive	subject-23		elsewhere
34	restrictive	subject-23	envelope	pos2
22	restrictive	subject-23		
23	non-restrictive	subject-23		elsewhere
2	restrictive	subject-23		elsewhere
17	non-restrictive	subject-23		
46	restrictive	subject-23		
26	restrictive	subject-23		
33	non-restrictive	subject-23		elsewhere
21	non-restrictive	subject-23		
5	non-restrictive	subject-23		elsewhere
14	restrictive	subject-23		
6	restrictive	subject-23		elsewhere
16	restrictive	subject-23	wallet	pos4
49	non-restrictive	subject-23	flag	pos2
29	non-restrictive	subject-23		elsewhere
38	restrictive	subject-23		subject
9	non-restrictive	subject-23		
40	restrictive	subject-23		
20	restrictive	subject-23		elsewhere
18	restrictive	subject-23		elsewhere
28	restrictive	subject-23		
13	non-restrictive	subject-23		subject
39	non-restrictive	subject-23	broom	pos4
31	non-restrictive	subject-23		subject
32	restrictive	subject-23		subject
36	restrictive	subject-23		subject
37	non-restrictive	subject-23		subject
3	non-restrictive	subject-23		
15	non-restrictive	subject-23	bird	pos3
41	non-restrictive	subject-23		elsewhere
44	restrictive	subject-23		subject
1	non-restrictive	subject-23		elsewhere
23	restrictive	subject-24		
32	non-restrictive	subject-24		
8	non-restrictive	subject-24		
31	restrictive	subject-24		subject
4	non-restrictive	subject-24		
20	non-restrictive	subject-24		
6	non-restrictive	subject-24		
45	restrictive	subject-24		
49	restrictive	subject-24		
10	non-restrictive	subject-24		
26	non-restrictive	subject-24		
17	restrictive	subject-24	backpack	pos3
22	non-restrictive	subject-24	magazine	pos3
40	non-restrictive	subject-24		elsewhere
38	non-restrictive	subject-24	marker	pos4
33	restrictive	subject-24		elsewhere
21	restrictive	subject-24		
2	non-restrictive	subject-24	wine	pos2
19	restrictive	subject-24	leaf	pos2
7	restrictive	subject-24	mushrooms	pos3
48	non-restrictive	subject-24	roller	pos2
15	restrictive	subject-24	hen	pos2
43	restrictive	subject-24	shirt	pos3
47	restrictive	subject-24	violin	pos3
36	non-restrictive	subject-24	pot	pos3
5	restrictive	subject-24		elsewhere
42	non-restrictive	subject-24	stone	pos3
37	restrictive	subject-24	lego	pos1
44	non-restrictive	subject-24	bolt	pos2
50	non-restrictive	subject-24	envelope	pos3
14	non-restrictive	subject-24		elsewhere
12	non-restrictive	subject-24		elsewhere
16	non-restrictive	subject-24		elsewhere
34	non-restrictive	subject-24	box	pos4
39	restrictive	subject-24	cloth	pos2
11	restrictive	subject-24	washing machine	pos3
3	restrictive	subject-24	man	pos3
25	restrictive	subject-24		
18	non-restrictive	subject-24	bucket	pos3
9	restrictive	subject-24	table	pos2
27	restrictive	subject-24	coaster	pos2
28	non-restrictive	subject-24	picture	pos3
13	restrictive	subject-24		
1	restrictive	subject-24		
29	restrictive	subject-24	milk	pos1
30	non-restrictive	subject-24		
41	restrictive	subject-24		
24	non-restrictive	subject-24	scarf	pos4
46	non-restrictive	subject-24	ladle	pos3
7	non-restrictive	subject-3		
37	non-restrictive	subject-3		
11	non-restrictive	subject-3		subject
36	restrictive	subject-3		
42	restrictive	subject-3		
31	non-restrictive	subject-3		
45	non-restrictive	subject-3		
22	restrictive	subject-3	flower	pos3
9	non-restrictive	subject-3		
18	restrictive	subject-3		
10	restrictive	subject-3		
16	restrictive	subject-3		
21	non-restrictive	subject-3		
1	non-restrictive	subject-3		
41	non-restrictive	subject-3		
35	non-restrictive	subject-3		
25	non-restrictive	subject-3		
15	non-restrictive	subject-3		elsewhere
44	restrictive	subject-3		
27	non-restrictive	subject-3		
12	restrictive	subject-3		
5	non-restrictive	subject-3		
34	restrictive	subject-3		elsewhere
49	non-restrictive	subject-3		
48	restrictive	subject-3		
3	non-restrictive	subject-3		
46	restrictive	subject-3		
32	restrictive	subject-3		
13	non-restrictive	subject-3		
20	restrictive	subject-3		
50	restrictive	subject-3		
43	non-restrictive	subject-3		
26	restrictive	subject-3		
33	non-restrictive	subject-3		
8	restrictive	subject-3		
24	restrictive	subject-3		
47	non-restrictive	subject-3		
30	restrictive	subject-3		elsewhere
39	non-restrictive	subject-3		
4	restrictive	subject-3		
29	non-restrictive	subject-3		
2	restrictive	subject-3		
17	non-restrictive	subject-3		
6	restrictive	subject-3		
14	restrictive	subject-3		
28	restrictive	subject-3		
19	non-restrictive	subject-3		
38	restrictive	subject-3		subject
40	restrictive	subject-3		
23	non-restrictive	subject-3		
22	non-restrictive	subject-4		
1	restrictive	subject-4	cake	pos3
10	non-restrictive	subject-4		subject
34	non-restrictive	subject-4		
26	non-restrictive	subject-4		
5	restrictive	subject-4		subject
6	non-restrictive	subject-4		
40	non-restrictive	subject-4		
44	non-restrictive	subject-4		
27	restrictive	subject-4		
24	non-restrictive	subject-4		
21	restrictive	subject-4		
38	non-restrictive	subject-4		
20	non-restrictive	subject-4		
8	non-restrictive	subject-4		
29	restrictive	subject-4		
36	non-restrictive	subject-4		elsewhere
28	non-restrictive	subject-4		
47	restrictive	subject-4		
33	restrictive	subject-4	mug	pos4
37	restrictive	subject-4		elsewhere
23	restrictive	subject-4		
11	restrictive	subject-4		elsewhere
41	restrictive	subject-4		elsewhere
49	restrictive	subject-4		subject
16	non-restrictive	subject-4		
45	restrictive	subject-4		
9	restrictive	subject-4		subject
25	restrictive	subject-4		
32	non-restrictive	subject-4		subject
4	non-restrictive	subject-4		
30	non-restrictive	subject-4	tissue	pos3
2	non-restrictive	subject-4		
39	restrictive	subject-4		
18	non-restrictive	subject-4		
12	non-restrictive	subject-4		
17	restrictive	subject-4	dress	pos3
46	non-restrictive	subject-4		
15	restrictive	subject-4		elsewhere
7	restrictive	subject-4		subject
31	restrictive	subject-4		
50	non-restrictive	subject-4		
19	restrictive	subject-4		
13	restrictive	subject-4		
43	restrictive	subject-4		elsewhere
3	restrictive	subject-4		elsewhere
42	non-restrictive	subject-4		
48	non-restrictive	subject-4		
14	non-restrictive	subject-4		
22	restrictive	subject-5	vase	pos2
15	non-restrictive	subject-5	ball	pos3
18	restrictive	subject-5	stone	pos2
43	non-restrictive	subject-5		elsewhere
8	restrictive	subject-5		subject
24	restrictive	subject-5		
49	non-restrictive	subject-5	pump	pos4
21	non-restrictive	subject-5	block	pos4
6	restrictive	subject-5		elsewhere
47	non-restrictive	subject-5		
30	restrictive	subject-5		
35	non-restrictive	subject-5		
41	non-restrictive	subject-5		
40	restrictive	subject-5		
5	non-restrictive	subject-5		
4	restrictive	subject-5		
37	non-restrictive	subject-5	boxes	pos1
45	non-restrictive	subject-5		
32	restrictive	subject-5		elsewhere
7	non-restrictive	subject-5		
33	non-restrictive	subject-5		
19	non-restrictive	subject-5		
2	restrictive	subject-5	lipstick	pos3
27	non-restrictive	subject-5		
46	restrictive	subject-5		
48	restrictive	subject-5		
11	non-restrictive	subject-5	dog	pos3
10	restrictive	subject-5	cup	pos2
20	restrictive	subject-5		
9	non-restrictive	subject-5	telephone	pos1
38	restrictive	subject-5		
42	restrictive	subject-5		
44	restrictive	subject-5		
14	restrictive	subject-5		
16	restrictive	subject-5		
39	non-restrictive	subject-5		
34	restrictive	subject-5		
50	restrictive	subject-5		
1	non-restrictive	subject-5		
13	non-restrictive	subject-5		
29	non-restrictive	subject-5		elsewhere
26	restrictive	subject-5		
36	restrictive	subject-5		
3	non-restrictive	subject-5		
31	non-restrictive	subject-5		
28	restrictive	subject-5		
25	non-restrictive	subject-5		
12	restrictive	subject-5		
23	non-restrictive	subject-5		
17	non-restrictive	subject-5		elsewhere
41	restrictive	subject-6		
31	restrictive	subject-6	headphones	pos1
10	non-restrictive	subject-6		
30	non-restrictive	subject-6		elsewhere
11	restrictive	subject-6		elsewhere
38	non-restrictive	subject-6		
7	restrictive	subject-6		
23	restrictive	subject-6		
50	non-restrictive	subject-6		
12	non-restrictive	subject-6		subject
34	non-restrictive	subject-6		
4	non-restrictive	subject-6		
42	non-restrictive	subject-6		
45	restrictive	subject-6		
36	non-restrictive	subject-6		subject
21	restrictive	subject-6		subject
2	non-restrictive	subject-6		
48	non-restrictive	subject-6		
47	restrictive	subject-6		
26	non-restrictive	subject-6		
49	restrictive	subject-6		
16	non-restrictive	subject-6		subject
29	restrictive	subject-6		
43	restrictive	subject-6		
5	restrictive	subject-6		
9	restrictive	subject-6		
14	non-restrictive	subject-6		
13	restrictive	subject-6		
1	restrictive	subject-6		
46	non-restrictive	subject-6		
20	non-restrictive	subject-6		elsewhere
44	non-restrictive	subject-6		
18	non-restrictive	subject-6		
27	restrictive	subject-6		
6	non-restrictive	subject-6		
25	restrictive	subject-6		
37	restrictive	subject-6		
17	restrictive	subject-6		
19	restrictive	subject-6		
15	restrictive	subject-6		
22	non-restrictive	subject-6		
32	non-restrictive	subject-6		
40	non-restrictive	subject-6		
24	non-restrictive	subject-6		
33	restrictive	subject-6		
3	restrictive	subject-6		
28	non-restrictive	subject-6		
39	restrictive	subject-6		
8	non-restrictive	subject-6		
17	non-restrictive	subject-7		
18	restrictive	subject-7		
45	non-restrictive	subject-7		
44	restrictive	subject-7		
47	non-restrictive	subject-7		elsewhere
20	restrictive	subject-7		
14	restrictive	subject-7		
19	non-restrictive	subject-7		
30	restrictive	subject-7		
41	non-restrictive	subject-7		
23	non-restrictive	subject-7		
48	restrictive	subject-7	roller	pos1
4	restrictive	subject-7	stool	pos1
10	restrictive	subject-7		
35	non-restrictive	subject-7		
13	non-restrictive	subject-7		
2	restrictive	subject-7		subject
42	restrictive	subject-7		subject
43	non-restrictive	subject-7		
36	restrictive	subject-7		
38	restrictive	subject-7		elsewhere
25	non-restrictive	subject-7		
12	restrictive	subject-7		
29	non-restrictive	subject-7		
46	restrictive	subject-7		
32	restrictive	subject-7	sponge	pos1
3	non-restrictive	subject-7		
22	restrictive	subject-7		
39	non-restrictive	subject-7		
49	non-restrictive	subject-7		
6	restrictive	subject-7	mountain	pos1
15	non-restrictive	subject-7		
28	restrictive	subject-7		
40	restrictive	subject-7		
27	non-restrictive	subject-7		
33	non-restrictive	subject-7		subject
31	non-restrictive	subject-7		
8	restrictive	subject-7		
26	restrictive	subject-7		
7	non-restrictive	subject-7		elsewhere
37	non-restrictive	subject-7		subject
11	non-restrictive	subject-7		elsewhere
21	non-restrictive	subject-7	cup	pos3
16	restrictive	subject-7		
1	non-restrictive	subject-7		subject
9	non-restrictive	subject-7		
34	restrictive	subject-7		subject
5	non-restrictive	subject-7		
50	restrictive	subject-7		
24	restrictive	subject-7		elsewhere
12	non-restrictive	subject-8		
4	non-restrictive	subject-8	stool	pos2
13	restrictive	subject-8		elsewhere
37	restrictive	subject-8		subject
45	restrictive	subject-8		
17	restrictive	subject-8		
19	restrictive	subject-8		subject
30	non-restrictive	subject-8		
34	non-restrictive	subject-8		
41	restrictive	subject-8		
31	restrictive	subject-8		
15	restrictive	subject-8		
47	restrictive	subject-8		
26	non-restrictive	subject-8		
29	restrictive	subject-8	milk	pos1
10	non-restrictive	subject-8		
43	restrictive	subject-8		
3	restrictive	subject-8		elsewhere
36	non-restrictive	subject-8		subject
48	non-restrictive	subject-8		elsewhere
32	non-restrictive	subject-8		
18	non-restrictive	subject-8		
8	non-restrictive	subject-8	toy bear	pos2
21	restrictive	subject-8		
28	non-restrictive	subject-8		subject
44	non-restrictive	subject-8		
20	non-restrictive	subject-8		
24	non-restrictive	subject-8		
39	restrictive	subject-8		
11	restrictive	subject-8		elsewhere
22	non-restrictive	subject-8		
14	non-restrictive	subject-8	filofax	pos3
33	restrictive	subject-8		
23	restrictive	subject-8		
46	non-restrictive	subject-8		subject
9	restrictive	subject-8		
27	restrictive	subject-8		elsewhere
49	restrictive	subject-8		subject
38	non-restrictive	subject-8		
50	non-restrictive	subject-8		
16	non-restrictive	subject-8		subject
40	non-restrictive	subject-8	mat	pos2
2	non-restrictive	subject-8		
42	non-restrictive	subject-8		
1	restrictive	subject-8		
6	non-restrictive	subject-8	mountain	pos2
7	restrictive	subject-8	weighing scales	pos1
25	restrictive	subject-8	glass	pos4
5	restrictive	subject-8		
49	non-restrictive	subject-9		
29	non-restrictive	subject-9	sock	pos4
9	non-restrictive	subject-9	television	pos4
45	non-restrictive	subject-9		
34	restrictive	subject-9	gift	pos1
42	restrictive	subject-9	shell	pos1
35	non-restrictive	subject-9	pillow	pos2
36	restrictive	subject-9		
2	restrictive	subject-9	chair	pos4
43	non-restrictive	subject-9	shirt	pos3
1	non-restrictive	subject-9	ball	pos4
6	restrictive	subject-9		elsewhere
8	restrictive	subject-9	child	pos4
26	restrictive	subject-9	keyboard	pos3
47	non-restrictive	subject-9	bow	pos4
27	non-restrictive	subject-9	candle	pos3
46	restrictive	subject-9	carrot	pos2
50	restrictive	subject-9	stamp	pos2
18	restrictive	subject-9		elsewhere
15	non-restrictive	subject-9		elsewhere
16	restrictive	subject-9		
31	non-restrictive	subject-9		elsewhere
17	non-restrictive	subject-9		subject
11	non-restrictive	subject-9	mirror	pos4
32	restrictive	subject-9	seed	pos3
25	non-restrictive	subject-9	rabbit	pos1
20	restrictive	subject-9	spoon	pos1
38	restrictive	subject-9	mitten	pos3
23	non-restrictive	subject-9	coat	pos3
48	restrictive	subject-9	footstool	pos3
37	non-restrictive	subject-9		
24	restrictive	subject-9	scarf	pos4
30	restrictive	subject-9	newspaper	pos2
4	restrictive	subject-9		
3	non-restrictive	subject-9		
28	restrictive	subject-9		elsewhere
10	restrictive	subject-9		
7	non-restrictive	subject-9	jug	pos2
21	non-restrictive	subject-9	kitten	pos1
13	non-restrictive	subject-9	boat	pos1
5	non-restrictive	subject-9	shuttle cock	pos4
40	restrictive	subject-9	mat	pos2
39	non-restrictive	subject-9	broom	pos1
22	restrictive	subject-9	vase	pos4
12	restrictive	subject-9		
14	restrictive	subject-9	filofax	pos3
33	non-restrictive	subject-9	mug	pos2
44	restrictive	subject-9		
41	non-restrictive	subject-9		
19	non-restrictive	subject-9	football	pos3
