participant_id,LX,LY,RX,RY
1, 0.5919715403530662,  0.7446973999168909,  0.6884545432865209,  0.46116143705221824
2, 0.18190461087964882,  0.33631054911437,  0.4351060671274939,  0.21964916196861067
3, 0.2594906849729148,  0.252453365610544,  0.2892209115431729,  0.3721594618793688
4, 0.6114261650901015,  0.7066797050072753,  0.44265945725421063,  0.6155020891093216
5, 0.39698785294335287,  0.4627423816992073,  0.38346205678522555,  0.4815902200426914
6, 0.6922752368935732,  0.4918169742116835,  0.36567652950635887,  1.0092947404772736
7, 0.5224972848715415,  0.6555450400740837,  0.500978791293011,  1.6479260794516035
8, 0.26752706457612896,  0.5800539529676653,  0.7790976413615759,  0.6492952661961526
9, 0.21351210129977632,  0.5029330203354633,  0.30099005176037924,  0.29541013911453035
10, 0.48837511887346463,  0.21819174717884215,  0.24196875139217955,  0.18899406188266368
11,  0.4072200373123397,  0.2731536297421915,  0.7717196794918291,  0.7605813846990306
12, 0.35342428778853396,  0.38925333585811805,  0.3033614464532806,  0.28686324171253474
13, 0.3256262208203006,  0.5240288321167035,  0.32971029450411543,  0.48813632989984546
14, 0.3844281847196943,  0.4731914422297358,  0.21096505680801297,  0.48401104520240923
15, 0.4217998135397325,  0.4105465965114117,  0.4708090447565873,  0.6693785457290856
16, 0.31192481837827274,  0.501105047654823,  0.37309814237912975,  0.2809594618700144
17, 0.22809173946651273,  0.44858799292157986,  0.6199897244458691,  0.525066331970865
18, 0.18470416162723002,  0.3523730765738626,  0.2289261165707378,  0.4785271357689019
19, 0.28843044712545474,  0.595147187068337,  0.5744492329446278,  0.6583364423258896
20, 0.5149877656144377,  0.9033657267688576,  0.9759337290189257,  0.8374079287889236
21, 0.5841106521659585,  0.3776927371365169,  0.4592593632588372,  0.5018214152962102
22, 0.278198326860779,  0.277328267487282,  0.22457857297889572,  0.3752966311162693
23, 1.5357577846920079,  1.370842992235307,  1.9596099450671594,  0.8239941095711886
24, 1.2641280435879843, 0.7066550022035984, 0.7192836331008009, 0.5403818162188588

