subject_nr,trial,condition,sentence_id,word_index,WordRole,word,start_s,end_s,window_ms,prop_pos1,prop_pos2,prop_pos3,prop_pos4,prop_target,prop_subject,no_object_gaze,n_samples
1,8,restrictive,3,3,ROOT,bathe,0.924,1.197,273.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9
1,8,restrictive,3,4,det,the,1.428,1.47,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6
1,8,restrictive,3,5,dobj,baby,1.596,2.94,1344.0,0.0,0.0,1.0,0.0,0.0,0.012821,False,175
1,9,restrictive,41,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
1,9,restrictive,41,1,nsubj,boy,0.147,0.42,273.0,0.0,1.0,0.0,0.0,1.0,0.0,False,41
1,9,restrictive,41,2,aux,will,0.546,0.714,168.0,0.0,0.0,0.0,0.0,0.0,0.0,True,25
1,9,restrictive,41,3,ROOT,squeeze,0.84,1.302,462.0,0.0,1.0,0.0,0.0,1.0,0.0,False,69
1,9,restrictive,41,4,det,the,1.386,1.449,63.0,0.0,1.0,0.0,0.0,1.0,0.0,False,10
1,9,restrictive,41,5,dobj,orange,1.638,3.003,1365.0,0.0,1.0,0.0,0.0,1.0,0.75,False,198
1,10,non-restrictive,42,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,10,non-restrictive,42,1,nsubj,woman,0.189,0.525,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,41
1,10,non-restrictive,42,2,aux,will,0.672,0.798,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,19
1,10,non-restrictive,42,3,ROOT,wash,0.903,1.26,357.0,0.0,1.0,0.0,0.0,0.0,0.0,False,54
1,10,non-restrictive,42,4,det,the,1.386,1.449,63.0,0.0,1.0,0.0,0.0,0.0,0.0,False,10
1,10,non-restrictive,42,5,dobj,shirt,1.638,2.793,1155.0,0.0,1.0,0.0,0.0,0.0,0.0,False,125
1,11,restrictive,11,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6
1,11,restrictive,11,1,nsubj,baby,0.168,0.504,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,10
1,11,restrictive,11,2,aux,will,0.714,0.84,126.0,0.0,1.0,0.0,0.0,0.0,0.0,False,12
1,11,restrictive,11,3,ROOT,ring,0.966,1.134,168.0,0.0,1.0,0.0,0.0,0.0,0.0,False,8
1,11,restrictive,11,4,det,the,1.218,1.26,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
1,11,restrictive,11,5,dobj,bell,1.386,2.058,672.0,0.0,0.230769,0.769231,0.0,0.0,0.071429,False,60
1,12,non-restrictive,36,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,12,non-restrictive,36,1,nsubj,kid,0.168,0.483,315.0,0.0,1.0,0.0,0.0,0.0,0.0,False,10
1,12,non-restrictive,36,2,aux,will,0.609,0.756,147.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8
1,12,non-restrictive,36,3,ROOT,stack,0.861,1.239,378.0,0.0,1.0,0.0,0.0,0.0,0.0,False,18
1,12,non-restrictive,36,4,det,the,1.344,1.428,84.0,0.0,1.0,0.0,0.0,0.0,0.0,False,13
1,12,non-restrictive,36,5,dobj,lego,1.554,2.877,1323.0,0.0,0.333333,0.666667,0.0,0.0,0.0,False,120
1,13,restrictive,7,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,13,restrictive,7,1,nsubj,doctor,0.168,0.672,504.0,0.0,1.0,0.0,0.0,0.0,0.0,False,42
1,13,restrictive,7,2,aux,will,0.819,0.945,126.0,0.0,1.0,0.0,0.0,0.0,0.0,False,13
1,13,restrictive,7,3,ROOT,inject,1.008,1.491,483.0,0.0,1.0,0.0,0.0,0.0,0.0,False,54
1,13,restrictive,7,4,det,the,1.596,1.659,63.0,0.0,1.0,0.0,0.0,0.0,0.0,False,9
1,13,restrictive,7,5,dobj,child,1.764,3.15,1386.0,0.0,0.016807,0.983193,0.0,0.0,0.0,False,171
1,14,restrictive,45,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,14,restrictive,45,1,nsubj,chef,0.21,0.483,273.0,0.0,1.0,0.0,0.0,1.0,0.1,False,27
1,14,restrictive,45,2,aux,will,0.63,0.756,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,18
1,14,restrictive,45,3,ROOT,grate,0.861,1.176,315.0,0.0,0.0,0.0,0.0,0.0,0.0,True,30
1,14,restrictive,45,4,det,the,1.26,1.323,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9
1,14,restrictive,45,5,dobj,carrot,1.407,2.688,1281.0,0.0,0.0,0.0,0.0,0.0,1.0,True,185
1,15,restrictive,25,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,15,restrictive,25,1,nsubj,man,0.168,0.462,294.0,0.0,1.0,0.0,0.0,1.0,0.0,False,33
1,15,restrictive,25,2,aux,will,0.567,0.714,147.0,0.0,1.0,0.0,0.0,1.0,0.0,False,22
1,15,restrictive,25,3,ROOT,paint,0.798,1.113,315.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27
1,15,restrictive,25,4,det,the,1.239,1.302,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,15,restrictive,25,5,dobj,canvas,1.386,2.898,1512.0,0.018349,0.100917,0.844037,0.036697,0.100917,0.120968,False,219
1,16,restrictive,21,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,16,restrictive,21,1,nsubj,woman,0.189,0.504,315.0,0.0,1.0,0.0,0.0,1.0,0.0,False,31
1,16,restrictive,21,2,aux,will,0.693,0.84,147.0,0.0,1.0,0.0,0.0,1.0,0.0,False,22
1,16,restrictive,21,3,ROOT,water,0.987,1.365,378.0,0.0,0.0,0.0,0.0,0.0,0.0,True,29
1,16,restrictive,21,4,det,the,1.47,1.512,42.0,0.0,1.0,0.0,0.0,1.0,0.0,False,6
1,16,restrictive,21,5,dobj,flower,1.659,3.003,1344.0,0.0,0.181818,0.781818,0.036364,0.181818,0.035088,False,193
1,17,restrictive,13,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6
1,17,restrictive,13,1,nsubj,man,0.168,0.462,294.0,0.0,1.0,0.0,0.0,1.0,0.0,False,38
1,17,restrictive,13,2,aux,will,0.567,0.714,147.0,0.0,0.0,0.0,0.0,0.0,0.0,True,12
1,17,restrictive,13,3,ROOT,smoke,0.84,1.197,357.0,0.0,1.0,0.0,0.0,1.0,0.0,False,40
1,17,restrictive,13,4,det,the,1.281,1.344,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,17,restrictive,13,5,dobj,cigarettes,1.47,2.961,1491.0,0.0,1.0,0.0,0.0,1.0,0.0,False,215
