,stimuliId,condition,obj,avg_percent,n_participants
131,17,non-restrictive,ribbon,0.26666666666666666,3
132,17,restrictive,backpack,0.0,2
133,17,restrictive,dress,0.0,2
134,17,restrictive,lantern,0.0,2
135,17,restrictive,ribbon,0.0,2
136,18,non-restrictive,bucket,0.0,2
137,18,non-restrictive,rope,0.0,2
138,18,non-restrictive,stone,0.5,2
139,18,non-restrictive,wood,0.0,2
140,18,restrictive,bucket,0.0,3
141,18,restrictive,rope,0.3333333333333333,3
142,18,restrictive,stone,0.0,3
143,18,restrictive,wood,0.0,3
144,19,non-restrictive,feather,0.0,3
145,19,non-restrictive,football,0.0,3
146,19,non-restrictive,leaf,0.0,3
147,19,non-restrictive,stick,0.3333333333333333,3
148,19,restrictive,feather,0.5,2
149,19,restrictive,football,0.0,2
150,19,restrictive,leaf,0.0,2
151,19,restrictive,stick,0.0,2
152,20,non-restrictive,bowl,0.5,2
153,20,non-restrictive,bread,0.0,2
154,20,non-restrictive,spatula,0.0,2
155,20,non-restrictive,spoon,0.0,2
156,20,restrictive,bowl,0.0,3
157,20,restrictive,bread,0.015151515151515133,3
158,20,restrictive,spatula,0.0,3
159,20,restrictive,spoon,0.3181818181818182,3
160,21,non-restrictive,block,0.0,3
161,21,non-restrictive,crayon,0.0,3
162,21,non-restrictive,cup,0.0,3
163,21,non-restrictive,kitten,0.0,3
164,21,restrictive,block,0.0,2
165,21,restrictive,crayon,0.0,2
166,21,restrictive,cup,0.0,2
167,21,restrictive,kitten,0.0,2
168,22,non-restrictive,cushion,0.06818181818181815,2
169,22,non-restrictive,flower,0.0,2
170,22,non-restrictive,magazine,0.20454545454545456,2
171,22,non-restrictive,vase,0.22727272727272724,2
172,22,restrictive,cushion,0.0,3
173,22,restrictive,flower,0.21333333333333335,3
174,22,restrictive,magazine,0.4533333333333333,3
175,22,restrictive,vase,0.0,3
176,23,non-restrictive,coat,0.0,3
177,23,non-restrictive,hook,0.0,3
178,23,non-restrictive,poster,0.0,3
179,23,non-restrictive,towel,0.0,3
180,23,restrictive,coat,0.0,2
181,23,restrictive,hook,0.0,2
182,23,restrictive,poster,0.0,2
183,23,restrictive,towel,0.0,2
184,24,non-restrictive,card,0.5,2
185,24,non-restrictive,needle,0.0,2
186,24,non-restrictive,pencil,0.0,2
187,24,non-restrictive,scarf,0.0,2
188,24,restrictive,card,0.0,3
189,24,restrictive,needle,0.0,3
190,24,restrictive,pencil,0.0,3
191,24,restrictive,scarf,0.6666666666666666,3
192,25,non-restrictive,glass,0.0,3
193,25,non-restrictive,plate,0.0,3
194,25,non-restrictive,potato,0.0,3
195,25,non-restrictive,rabbit,0.3333333333333333,3
196,25,restrictive,glass,0.0,2
197,25,restrictive,plate,0.0,2
198,25,restrictive,potato,0.5,2
199,25,restrictive,rabbit,0.0,2
200,26,non-restrictive,canvas,0.0,2
201,26,non-restrictive,keyboard,0.0,2
202,26,non-restrictive,peach,0.5,2
203,26,non-restrictive,rope,0.0,2
204,26,restrictive,canvas,0.0,3
205,26,restrictive,keyboard,0.17647058823529413,3
