id,word,SentenceRole,WordRole,start,end,sentence
15,businessman,restrictive,nsubj,0.651,1.428,The businessman will wear the hat
15,will,restrictive,aux,1.575,1.701,The businessman will wear the hat
15,wear,restrictive,ROOT,1.785,1.974,The businessman will wear the hat
15,the,restrictive,det,2.058,2.121,The businessman will wear the hat
15,hat,restrictive,dobj,2.247,3.297,The businessman will wear the hat
15,The,non-restrictive,det,0.441,0.525,The businessman will forget the hat
15,businessman,non-restrictive,nsubj,0.63,1.449,The businessman will forget the hat
15,will,non-restrictive,aux,1.596,1.722,The businessman will forget the hat
15,forget,non-restrictive,ROOT,1.806,2.205,The businessman will forget the hat
15,the,non-restrictive,det,2.31,2.352,The businessman will forget the hat
15,hat,non-restrictive,dobj,2.478,3.507,The businessman will forget the hat
16,The,restrictive,det,0.462,0.525,The woman will wear the dress
16,woman,restrictive,nsubj,0.651,0.987,The woman will wear the dress
16,will,restrictive,aux,1.134,1.26,The woman will wear the dress
16,wear,restrictive,ROOT,1.344,1.554,The woman will wear the dress
16,the,restrictive,det,1.659,1.722,The woman will wear the dress
16,dress,restrictive,dobj,1.827,3.045,The woman will wear the dress
16,The,non-restrictive,det,0.462,0.525,The woman will carry the dress
16,woman,non-restrictive,nsubj,0.651,0.987,The woman will carry the dress
16,will,non-restrictive,aux,1.092,1.218,The woman will carry the dress
16,carry,non-restrictive,ROOT,1.281,1.638,The woman will carry the dress
16,the,non-restrictive,det,1.743,1.806,The woman will carry the dress
16,dress,non-restrictive,dobj,1.911,3.108,The woman will carry the dress
17,The,restrictive,det,0.441,0.525,The man will chop the wood
17,man,restrictive,nsubj,0.63,0.945,The man will chop the wood
17,will,restrictive,aux,1.05,1.155,The man will chop the wood
17,chop,restrictive,ROOT,1.239,1.512,The man will chop the wood
17,the,restrictive,det,1.638,1.701,The man will chop the wood
17,wood,restrictive,dobj,1.806,2.835,The man will chop the wood
17,The,non-restrictive,det,0.462,0.525,The man will move the wood
17,man,non-restrictive,nsubj,0.63,0.945,The man will move the wood
17,will,non-restrictive,aux,1.113,1.218,The man will move the wood
17,move,non-restrictive,ROOT,1.302,1.575,The man will move the wood
17,the,non-restrictive,det,1.638,1.701,The man will move the wood
17,wood,non-restrictive,dobj,1.806,2.835,The man will move the wood
18,The,restrictive,det,0.462,0.525,The boy will kick the football
18,boy,restrictive,nsubj,0.63,0.924,The boy will kick the football
18,will,restrictive,aux,1.029,1.176,The boy will kick the football
18,kick,restrictive,ROOT,1.26,1.491,The boy will kick the football
18,the,restrictive,det,1.596,1.659,The boy will kick the football
18,football,restrictive,dobj,1.764,3.045,The boy will kick the football
18,The,non-restrictive,det,0.462,0.525,The boy will touch the football
18,boy,non-restrictive,nsubj,0.63,0.924,The boy will touch the football
18,will,non-restrictive,aux,1.029,1.155,The boy will touch the football
18,touch,non-restrictive,ROOT,1.239,1.533,The boy will touch the football
18,the,non-restrictive,det,1.617,1.68,The boy will touch the football
18,football,non-restrictive,dobj,1.785,3.066,The boy will touch the football
19,The,restrictive,det,0.462,0.525,The chef will slice the bread
19,chef,restrictive,nsubj,0.672,0.924,The chef will slice the bread
19,will,restrictive,aux,1.05,1.176,The chef will slice the bread
19,slice,restrictive,ROOT,1.239,1.596,The chef will slice the bread
